ORTHOMCL0	NP_001001411.2_HUMAN
ORTHOMCL111	NP_001141.2_HUMAN
ORTHOMCL112	NP_000082.2_HUMAN
ORTHOMCL113	NP_000416.1_HUMAN
ORTHOMCL114	NP_001155901.1_HUMAN
ORTHOMCL115	NP_001093205.1_HUMAN
ORTHOMCL116	XP_011517228.1_HUMAN
ORTHOMCL118	XP_016863875.1_HUMAN
ORTHOMCL119	NP_002419.1_HUMAN
ORTHOMCL120	NP_006054.2_HUMAN
ORTHOMCL121	NP_001783.2_HUMAN
ORTHOMCL122	NP_001185.3_HUMAN
ORTHOMCL123	NP_001255213.1_HUMAN
ORTHOMCL124	NP_065846.1_HUMAN
ORTHOMCL125	NP_001073887.1_HUMAN
ORTHOMCL126	NP_003465.3_HUMAN
ORTHOMCL127	XP_005248949.1_HUMAN
ORTHOMCL128	NP_004218.1_HUMAN
ORTHOMCL129	NP_001093326.2_HUMAN
ORTHOMCL130	NP_055878.1_HUMAN
ORTHOMCL131	NP_004937.1_HUMAN
ORTHOMCL132	NP_000211.1_HUMAN
ORTHOMCL133	NP_000102.1_HUMAN
ORTHOMCL134	NP_001171725.1_HUMAN
ORTHOMCL135	NP_001137476.1_HUMAN
ORTHOMCL136	NP_001028229.1_HUMAN
ORTHOMCL137	NP_001308498.1_HUMAN
ORTHOMCL138	NP_001128243.1_HUMAN
ORTHOMCL139	NP_001129131.1_HUMAN
ORTHOMCL140	NP_733765.1_HUMAN
ORTHOMCL141	NP_001008709.1_HUMAN
ORTHOMCL142	NP_001005361.1_HUMAN
ORTHOMCL143	NP_001398.2_HUMAN
ORTHOMCL144	NP_001278910.1_HUMAN
ORTHOMCL145	NP_036565.2_HUMAN
ORTHOMCL146	XP_011542792.1_HUMAN
ORTHOMCL147	NP_001245367.1_HUMAN
ORTHOMCL148	NP_036439.2_HUMAN
ORTHOMCL149	NP_000914.2_HUMAN
ORTHOMCL150	NP_000430.3_HUMAN
ORTHOMCL151	NP_001036068.1_HUMAN
ORTHOMCL152	NP_001129666.1_HUMAN
ORTHOMCL153	NP_000079.2_HUMAN
ORTHOMCL154	NP_006234.1_HUMAN
ORTHOMCL155	NP_000435.3_HUMAN
ORTHOMCL156	NP_003377.2_HUMAN
ORTHOMCL157	NP_001092305.1_HUMAN
ORTHOMCL158	NP_036440.1_HUMAN
ORTHOMCL159	XP_006719508.1_HUMAN
ORTHOMCL160	NP_001304875.1_HUMAN
ORTHOMCL161	NP_001308784.1_HUMAN
ORTHOMCL162	NP_000084.3_HUMAN
ORTHOMCL164	NP_277052.1_HUMAN
ORTHOMCL165	NP_060093.3_HUMAN
ORTHOMCL166	NP_001675.3_HUMAN
ORTHOMCL167	NP_001014809.1_HUMAN
ORTHOMCL168	NP_005264.2_HUMAN
ORTHOMCL169	NP_001171062.1_HUMAN
ORTHOMCL170	NP_001098707.1_HUMAN
ORTHOMCL171	NP_006832.1_HUMAN
ORTHOMCL172	NP_001073890.2_HUMAN
ORTHOMCL173	XP_006710551.1_HUMAN
ORTHOMCL174	NP_001303243.1_HUMAN
ORTHOMCL175	NP_776257.1_HUMAN
ORTHOMCL176	NP_001153605.1_HUMAN
ORTHOMCL177	NP_067009.1_HUMAN
ORTHOMCL178	NP_001164209.1_HUMAN
ORTHOMCL179	NP_001245300.2_HUMAN
ORTHOMCL180	NP_000331.1_HUMAN
ORTHOMCL181	NP_004512.1_HUMAN
ORTHOMCL182	NP_001001420.1_HUMAN
ORTHOMCL183	XP_005270666.1_HUMAN
ORTHOMCL184	XP_005251060.1_HUMAN
ORTHOMCL185	NP_001116108.1_HUMAN
ORTHOMCL186	NP_001275634.1_HUMAN
ORTHOMCL187	NP_001064.1_HUMAN
ORTHOMCL188	NP_061178.1_HUMAN
ORTHOMCL189	NP_001271214.1_HUMAN
ORTHOMCL191	XP_005253562.1_HUMAN
ORTHOMCL192	NP_005119.2_HUMAN
ORTHOMCL193	NP_001004439.1_HUMAN
ORTHOMCL194	NP_004901.2_HUMAN
ORTHOMCL195	XP_005249397.2_HUMAN
ORTHOMCL196	NP_000753.3_HUMAN
ORTHOMCL197	NP_001098676.2_HUMAN
ORTHOMCL198	NP_001073286.1_HUMAN
ORTHOMCL199	NP_056371.1_HUMAN
ORTHOMCL200	NP_734465.2_HUMAN
ORTHOMCL201	NP_001185688.1_HUMAN
ORTHOMCL202	NP_001304051.1_HUMAN
ORTHOMCL203	NP_001128360.1_HUMAN
ORTHOMCL204	NP_071765.2_HUMAN
ORTHOMCL205	NP_001171532.1_HUMAN
ORTHOMCL206	NP_055399.1_HUMAN
ORTHOMCL207	XP_005264881.1_HUMAN
ORTHOMCL208	NP_060177.2_HUMAN
ORTHOMCL209	NP_071426.1_HUMAN
ORTHOMCL210	NP_003043.3_HUMAN
ORTHOMCL211	NP_002099.1_HUMAN
ORTHOMCL212	NP_001273721.1_HUMAN
ORTHOMCL213	NP_001106212.1_HUMAN
ORTHOMCL214	NP_006763.2_HUMAN
ORTHOMCL215	NP_055421.1_HUMAN
ORTHOMCL216	NP_005499.1_HUMAN
ORTHOMCL217	NP_001154.2_HUMAN
ORTHOMCL218	XP_006724688.1_HUMAN
ORTHOMCL219	NP_002742.3_HUMAN
ORTHOMCL220	NP_001257330.1_HUMAN
ORTHOMCL221	NP_002853.2_HUMAN
ORTHOMCL222	NP_064423.2_HUMAN
ORTHOMCL223	XP_011508832.1_HUMAN
ORTHOMCL224	NP_001269374.1_HUMAN
ORTHOMCL225	NP_000120.2_HUMAN
ORTHOMCL226	NP_001186384.1_HUMAN
ORTHOMCL227	XP_016881019.1_HUMAN
ORTHOMCL228	NP_001273542.1_HUMAN
ORTHOMCL229	NP_001304913.1_HUMAN
ORTHOMCL230	NP_036595.2_HUMAN
ORTHOMCL231	NP_002309.1_HUMAN
ORTHOMCL232	NP_055790.1_HUMAN
ORTHOMCL233	NP_001076585.1_HUMAN
ORTHOMCL234	NP_001124436.1_HUMAN
ORTHOMCL235	NP_001015880.1_HUMAN
ORTHOMCL236	NP_003794.3_HUMAN
ORTHOMCL237	NP_000716.2_HUMAN
ORTHOMCL238	NP_005609.3_HUMAN
ORTHOMCL239	NP_940876.2_HUMAN
ORTHOMCL240	NP_001164045.1_HUMAN
ORTHOMCL241	NP_000535.3_HUMAN
ORTHOMCL242	NP_000768.1_HUMAN
ORTHOMCL243	NP_000882.1_HUMAN
ORTHOMCL244	NP_001457.1_HUMAN
ORTHOMCL245	NP_006612.2_HUMAN
ORTHOMCL246	NP_001276675.1_HUMAN
ORTHOMCL247	NP_055742.2_HUMAN
ORTHOMCL248	NP_001268885.1_HUMAN
ORTHOMCL249	NP_005012.2_HUMAN
ORTHOMCL250	NP_061496.2_HUMAN
ORTHOMCL251	NP_001265227.1_HUMAN
ORTHOMCL252	NP_001108206.2_HUMAN
ORTHOMCL253	NP_001347.3_HUMAN
ORTHOMCL254	NP_001142.2_HUMAN
ORTHOMCL255	NP_000410.2_HUMAN
ORTHOMCL256	NP_000680.2_HUMAN
ORTHOMCL257	NP_001003800.1_HUMAN
ORTHOMCL258	NP_001123579.1_HUMAN
ORTHOMCL259	NP_002215.2_HUMAN
ORTHOMCL260	NP_001419.1_HUMAN
ORTHOMCL261	NP_006249.1_HUMAN
ORTHOMCL262	NP_055433.2_HUMAN
ORTHOMCL263	NP_001009562.3_HUMAN
ORTHOMCL264	NP_003288.2_HUMAN
ORTHOMCL265	NP_001420.2_HUMAN
ORTHOMCL266	NP_001230261.1_HUMAN
ORTHOMCL267	NP_001129575.2_HUMAN
ORTHOMCL268	NP_001009566.1_HUMAN
ORTHOMCL269	NP_002520.2_HUMAN
ORTHOMCL270	NP_003609.2_HUMAN
ORTHOMCL271	NP_004791.1_HUMAN
ORTHOMCL272	NP_037518.3_HUMAN
ORTHOMCL273	NP_001885.1_HUMAN
ORTHOMCL274	XP_011534878.1_HUMAN
ORTHOMCL275	NP_000897.3_HUMAN
ORTHOMCL276	NP_000808.2_HUMAN
ORTHOMCL277	XP_005262470.1_HUMAN
ORTHOMCL278	NP_001695.1_HUMAN
ORTHOMCL279	NP_076991.3_HUMAN
ORTHOMCL280	NP_065166.2_HUMAN
ORTHOMCL281	NP_055664.3_HUMAN
ORTHOMCL282	NP_001073350.1_HUMAN
ORTHOMCL283	NP_776175.2_HUMAN
ORTHOMCL284	NP_001269540.1_HUMAN
ORTHOMCL285	NP_001410.2_HUMAN
ORTHOMCL286	NP_001258963.1_HUMAN
ORTHOMCL287	NP_066933.1_HUMAN
ORTHOMCL288	NP_003861.1_HUMAN
ORTHOMCL289	NP_001120.3_HUMAN
ORTHOMCL290	NP_002058.2_HUMAN
ORTHOMCL291	NP_000026.2_HUMAN
ORTHOMCL292	NP_001135858.1_HUMAN
ORTHOMCL293	NP_001291737.1_HUMAN
ORTHOMCL294	NP_821074.1_HUMAN
ORTHOMCL295	NP_000803.2_HUMAN
ORTHOMCL296	NP_001248357.1_HUMAN
ORTHOMCL297	NP_001159968.1_HUMAN
ORTHOMCL298	NP_001164100.1_HUMAN
ORTHOMCL299	NP_055760.1_HUMAN
ORTHOMCL301	NP_001013860.1_HUMAN
ORTHOMCL302	NP_001116244.1_HUMAN
ORTHOMCL304	NP_001646.2_HUMAN
ORTHOMCL305	NP_000027.2_HUMAN
ORTHOMCL306	NP_004526.1_HUMAN
ORTHOMCL307	NP_003142.1_HUMAN
ORTHOMCL308	NP_056365.1_HUMAN
ORTHOMCL309	NP_001099050.1_HUMAN
ORTHOMCL310	NP_002267.2_HUMAN
ORTHOMCL311	NP_002010.2_HUMAN
ORTHOMCL312	NP_001311030.1_HUMAN
ORTHOMCL313	NP_001103824.1_HUMAN
ORTHOMCL314	NP_001028740.1_HUMAN
ORTHOMCL315	NP_002577.2_HUMAN
ORTHOMCL316	NP_005088.1_HUMAN
ORTHOMCL317	NP_055531.1_HUMAN
ORTHOMCL318	NP_003626.1_HUMAN
ORTHOMCL319	NP_068813.1_HUMAN
ORTHOMCL321	NP_001295197.1_HUMAN
ORTHOMCL322	NP_000426.2_HUMAN
ORTHOMCL323	NP_001019554.1_HUMAN
ORTHOMCL324	NP_064705.1_HUMAN
ORTHOMCL325	NP_001274273.1_HUMAN
ORTHOMCL326	NP_009116.3_HUMAN
ORTHOMCL327	NP_001167638.1_HUMAN
ORTHOMCL328	NP_970615.2_HUMAN
ORTHOMCL329	NP_001369.1_HUMAN
ORTHOMCL330	NP_061167.1_HUMAN
ORTHOMCL331	NP_001093130.1_HUMAN
ORTHOMCL332	NP_005730.2_HUMAN
ORTHOMCL333	NP_008954.2_HUMAN
ORTHOMCL334	NP_001138409.1_HUMAN
ORTHOMCL335	NP_001887.1_HUMAN
ORTHOMCL336	NP_001287775.1_HUMAN
ORTHOMCL337	NP_001269581.1_HUMAN
ORTHOMCL338	NP_000935.1_HUMAN
ORTHOMCL339	NP_055843.1_HUMAN
ORTHOMCL340	NP_056953.2_HUMAN
ORTHOMCL341	XP_016861627.1_HUMAN
ORTHOMCL342	NP_003651.1_HUMAN
ORTHOMCL343	NP_078932.2_HUMAN
ORTHOMCL344	NP_001287916.1_HUMAN
ORTHOMCL345	NP_065162.1_HUMAN
ORTHOMCL346	NP_079533.2_HUMAN
ORTHOMCL347	NP_001119577.1_HUMAN
ORTHOMCL348	NP_002597.1_HUMAN
ORTHOMCL349	NP_001128567.1_HUMAN
ORTHOMCL350	XP_005257430.1_HUMAN
ORTHOMCL351	NP_001155973.1_HUMAN
ORTHOMCL352	NP_001091949.1_HUMAN
ORTHOMCL353	NP_078881.3_HUMAN
ORTHOMCL354	XP_006713721.1_HUMAN
ORTHOMCL355	NP_001157945.1_HUMAN
ORTHOMCL356	NP_001155102.1_HUMAN
ORTHOMCL357	XP_005245362.1_HUMAN
ORTHOMCL358	NP_001258906.1_HUMAN
ORTHOMCL359	NP_001186728.1_HUMAN
ORTHOMCL360	NP_001009185.1_HUMAN
ORTHOMCL361	XP_011517730.1_HUMAN
ORTHOMCL362	NP_006247.1_HUMAN
ORTHOMCL363	NP_004163.3_HUMAN
ORTHOMCL364	NP_001092281.1_HUMAN
ORTHOMCL365	NP_000074.2_HUMAN
ORTHOMCL366	NP_001191016.1_HUMAN
ORTHOMCL367	NP_612429.2_HUMAN
ORTHOMCL368	NP_001003841.1_HUMAN
ORTHOMCL369	NP_055804.2_HUMAN
ORTHOMCL370	NP_001139187.1_HUMAN
ORTHOMCL371	NP_001276916.1_HUMAN
ORTHOMCL372	NP_001514.2_HUMAN
ORTHOMCL374	NP_055058.2_HUMAN
ORTHOMCL375	NP_037412.2_HUMAN
ORTHOMCL377	NP_006383.2_HUMAN
ORTHOMCL378	NP_008845.2_HUMAN
ORTHOMCL379	NP_000454.1_HUMAN
ORTHOMCL380	NP_001019623.2_HUMAN
ORTHOMCL381	NP_001180197.1_HUMAN
ORTHOMCL382	NP_006422.1_HUMAN
ORTHOMCL383	NP_001240656.1_HUMAN
ORTHOMCL384	NP_001163887.1_HUMAN
ORTHOMCL385	NP_002206.2_HUMAN
ORTHOMCL386	NP_001129521.2_HUMAN
ORTHOMCL387	NP_001348.2_HUMAN
ORTHOMCL388	XP_011538270.1_HUMAN
ORTHOMCL389	NP_001303278.1_HUMAN
ORTHOMCL390	NP_000037.2_HUMAN
ORTHOMCL392	NP_003236.3_HUMAN
ORTHOMCL393	NP_001018091.1_HUMAN
ORTHOMCL395	NP_006120.1_HUMAN
ORTHOMCL396	NP_009049.2_HUMAN
ORTHOMCL397	NP_065394.1_HUMAN
ORTHOMCL398	NP_065702.2_HUMAN
ORTHOMCL399	NP_001295139.1_HUMAN
ORTHOMCL400	NP_065740.2_HUMAN
ORTHOMCL401	NP_001393.1_HUMAN
ORTHOMCL402	NP_751892.1_HUMAN
ORTHOMCL403	NP_001930.2_HUMAN
ORTHOMCL404	NP_001153239.1_HUMAN
ORTHOMCL405	NP_000199.2_HUMAN
ORTHOMCL406	NP_001461.1_HUMAN
ORTHOMCL407	XP_011517910.1_HUMAN
ORTHOMCL408	NP_061176.3_HUMAN
ORTHOMCL409	NP_001293139.1_HUMAN
ORTHOMCL410	NP_000118.2_HUMAN
ORTHOMCL411	NP_001122101.1_HUMAN
ORTHOMCL412	NP_006141.2_HUMAN
ORTHOMCL413	NP_059111.2_HUMAN
ORTHOMCL414	NP_001018082.1_HUMAN
ORTHOMCL415	NP_006006.3_HUMAN
ORTHOMCL416	NP_001001417.6_HUMAN
ORTHOMCL417	NP_001003793.1_HUMAN
ORTHOMCL418	NP_001136336.2_HUMAN
ORTHOMCL419	NP_001296171.1_HUMAN
ORTHOMCL422	NP_003015.2_HUMAN
ORTHOMCL423	NP_004413.1_HUMAN
ORTHOMCL424	NP_001231739.1_HUMAN
ORTHOMCL425	NP_000626.2_HUMAN
ORTHOMCL426	NP_056245.2_HUMAN
ORTHOMCL427	NP_002871.1_HUMAN
ORTHOMCL428	NP_005138.3_HUMAN
ORTHOMCL429	NP_065804.2_HUMAN
ORTHOMCL430	NP_056372.1_HUMAN
ORTHOMCL431	NP_005900.2_HUMAN
ORTHOMCL432	NP_036586.2_HUMAN
ORTHOMCL433	NP_071900.2_HUMAN
ORTHOMCL435	NP_055945.2_HUMAN
ORTHOMCL436	NP_001170853.1_HUMAN
ORTHOMCL437	NP_201591.2_HUMAN
ORTHOMCL438	NP_002842.2_HUMAN
ORTHOMCL439	XP_016885601.1_HUMAN
ORTHOMCL440	XP_005257602.2_HUMAN
ORTHOMCL441	NP_660333.2_HUMAN
ORTHOMCL442	NP_001104026.1_HUMAN
ORTHOMCL443	NP_001077362.1_HUMAN
ORTHOMCL444	NP_001821.2_HUMAN
ORTHOMCL445	XP_005248308.1_HUMAN
ORTHOMCL446	NP_065164.2_HUMAN
ORTHOMCL447	XP_006713931.1_HUMAN
ORTHOMCL448	XP_006714220.1_HUMAN
ORTHOMCL449	NP_056988.3_HUMAN
ORTHOMCL450	XP_011514118.1_HUMAN
ORTHOMCL451	NP_001287720.1_HUMAN
ORTHOMCL452	NP_001304998.1_HUMAN
ORTHOMCL453	NP_001159583.1_HUMAN
ORTHOMCL454	NP_000918.2_HUMAN
ORTHOMCL455	NP_005456.1_HUMAN
ORTHOMCL456	NP_004066.1_HUMAN
ORTHOMCL457	NP_000247.2_HUMAN
ORTHOMCL458	NP_002586.2_HUMAN
ORTHOMCL459	NP_001138829.1_HUMAN
ORTHOMCL460	NP_001622.2_HUMAN
ORTHOMCL461	NP_001013764.1_HUMAN
ORTHOMCL462	NP_000159.3_HUMAN
ORTHOMCL464	NP_004970.3_HUMAN
ORTHOMCL465	NP_000957.1_HUMAN
ORTHOMCL466	NP_000419.1_HUMAN
ORTHOMCL467	NP_062552.2_HUMAN
ORTHOMCL468	NP_003950.1_HUMAN
ORTHOMCL469	NP_001307279.1_HUMAN
ORTHOMCL470	NP_004136.2_HUMAN
ORTHOMCL471	NP_085131.1_HUMAN
ORTHOMCL472	NP_001009611.2_HUMAN
ORTHOMCL473	NP_001308834.1_HUMAN
ORTHOMCL474	XP_005263429.1_HUMAN
ORTHOMCL475	NP_055104.2_HUMAN
ORTHOMCL476	NP_001291278.1_HUMAN
ORTHOMCL477	NP_001407.1_HUMAN
ORTHOMCL478	NP_001278798.1_HUMAN
ORTHOMCL479	XP_005258516.1_HUMAN
ORTHOMCL480	XP_005254228.1_HUMAN
ORTHOMCL481	NP_001077005.1_HUMAN
ORTHOMCL482	NP_001264992.1_HUMAN
ORTHOMCL483	XP_011536758.1_HUMAN
ORTHOMCL484	NP_005566.2_HUMAN
ORTHOMCL485	NP_001137148.1_HUMAN
ORTHOMCL486	NP_004806.3_HUMAN
ORTHOMCL487	NP_000268.1_HUMAN
ORTHOMCL488	NP_000662.3_HUMAN
ORTHOMCL489	NP_001186346.1_HUMAN
ORTHOMCL490	NP_002369.2_HUMAN
ORTHOMCL491	XP_005246991.2_HUMAN
ORTHOMCL492	NP_002653.1_HUMAN
ORTHOMCL493	NP_001288.3_HUMAN
ORTHOMCL494	NP_001091981.1_HUMAN
ORTHOMCL495	NP_060496.2_HUMAN
ORTHOMCL496	XP_011527271.1_HUMAN
ORTHOMCL497	XP_005256609.1_HUMAN
ORTHOMCL498	NP_001182760.2_HUMAN
ORTHOMCL499	NP_001073898.1_HUMAN
ORTHOMCL500	XP_005250817.1_HUMAN
ORTHOMCL501	NP_443138.2_HUMAN
ORTHOMCL502	XP_006711357.1_HUMAN
ORTHOMCL503	XP_011510350.1_HUMAN
ORTHOMCL504	NP_055793.1_HUMAN
ORTHOMCL505	XP_011527718.1_HUMAN
ORTHOMCL507	NP_001181876.1_HUMAN
ORTHOMCL509	NP_036560.1_HUMAN
ORTHOMCL510	NP_001311111.1_HUMAN
ORTHOMCL511	NP_004305.2_HUMAN
ORTHOMCL512	NP_002628.2_HUMAN
ORTHOMCL513	NP_666018.3_HUMAN
ORTHOMCL514	NP_056274.3_HUMAN
ORTHOMCL515	NP_001026855.2_HUMAN
ORTHOMCL516	NP_055542.1_HUMAN
ORTHOMCL517	NP_001275914.1_HUMAN
ORTHOMCL518	NP_054700.2_HUMAN
ORTHOMCL519	XP_005262687.1_HUMAN
ORTHOMCL520	XP_016871256.1_HUMAN
ORTHOMCL521	NP_038465.1_HUMAN
ORTHOMCL522	NP_001308008.1_HUMAN
ORTHOMCL523	NP_000205.1_HUMAN
ORTHOMCL524	NP_002410.1_HUMAN
ORTHOMCL525	NP_000393.4_HUMAN
ORTHOMCL526	NP_001035754.1_HUMAN
ORTHOMCL527	NP_003403.2_HUMAN
ORTHOMCL528	NP_071350.2_HUMAN
ORTHOMCL529	NP_000766.2_HUMAN
ORTHOMCL530	NP_001035351.4_HUMAN
ORTHOMCL531	NP_002038.2_HUMAN
ORTHOMCL532	NP_003276.3_HUMAN
ORTHOMCL533	NP_059122.2_HUMAN
ORTHOMCL535	NP_001271427.1_HUMAN
ORTHOMCL536	NP_003079.1_HUMAN
ORTHOMCL537	NP_001029345.2_HUMAN
ORTHOMCL538	NP_076983.1_HUMAN
ORTHOMCL539	NP_001007241.2_HUMAN
ORTHOMCL540	NP_006599.2_HUMAN
ORTHOMCL541	NP_001131032.1_HUMAN
ORTHOMCL542	NP_004658.3_HUMAN
ORTHOMCL543	XP_005245126.1_HUMAN
ORTHOMCL547	NP_008816.3_HUMAN
ORTHOMCL548	NP_945193.1_HUMAN
ORTHOMCL549	NP_775292.1_HUMAN
ORTHOMCL550	NP_001161840.1_HUMAN
ORTHOMCL551	NP_057240.3_HUMAN
ORTHOMCL552	NP_071331.2_HUMAN
ORTHOMCL553	NP_877499.1_HUMAN
ORTHOMCL554	NP_004677.3_HUMAN
ORTHOMCL555	NP_055654.2_HUMAN
ORTHOMCL556	NP_056516.2_HUMAN
ORTHOMCL558	NP_001075.1_HUMAN
ORTHOMCL559	XP_005274379.1_HUMAN
ORTHOMCL560	XP_005264943.1_HUMAN
ORTHOMCL561	NP_065202.2_HUMAN
ORTHOMCL562	NP_001307676.1_HUMAN
ORTHOMCL563	NP_004705.1_HUMAN
ORTHOMCL564	NP_005087.1_HUMAN
ORTHOMCL565	NP_001129965.1_HUMAN
ORTHOMCL566	NP_001265598.1_HUMAN
ORTHOMCL567	NP_003740.2_HUMAN
ORTHOMCL568	NP_000689.1_HUMAN
ORTHOMCL569	NP_001158067.1_HUMAN
ORTHOMCL570	XP_011522040.1_HUMAN
ORTHOMCL571	NP_001127911.1_HUMAN
ORTHOMCL572	XP_005274542.1_HUMAN
ORTHOMCL574	NP_000811.1_HUMAN
ORTHOMCL575	NP_510880.2_HUMAN
ORTHOMCL576	NP_001074.2_HUMAN
ORTHOMCL577	XP_011517398.1_HUMAN
ORTHOMCL578	NP_001077430.1_HUMAN
ORTHOMCL579	NP_004616.2_HUMAN
ORTHOMCL580	NP_003277.1_HUMAN
ORTHOMCL581	XP_011523130.1_HUMAN
ORTHOMCL582	NP_689742.4_HUMAN
ORTHOMCL583	XP_011508525.1_HUMAN
ORTHOMCL584	XP_006715802.1_HUMAN
ORTHOMCL585	NP_001032242.1_HUMAN
ORTHOMCL586	NP_003225.2_HUMAN
ORTHOMCL587	XP_006716181.1_HUMAN
ORTHOMCL588	NP_115479.4_HUMAN
ORTHOMCL589	NP_005175.2_HUMAN
ORTHOMCL590	NP_002084.2_HUMAN
ORTHOMCL591	NP_000129.3_HUMAN
ORTHOMCL592	NP_705718.1_HUMAN
ORTHOMCL593	NP_001003801.1_HUMAN
ORTHOMCL594	NP_001612.1_HUMAN
ORTHOMCL595	XP_006719365.1_HUMAN
ORTHOMCL596	NP_001309294.1_HUMAN
ORTHOMCL598	NP_002950.3_HUMAN
ORTHOMCL599	NP_005316.1_HUMAN
ORTHOMCL601	NP_808218.1_HUMAN
ORTHOMCL602	NP_001012279.1_HUMAN
ORTHOMCL603	NP_000388.2_HUMAN
ORTHOMCL604	NP_079231.4_HUMAN
ORTHOMCL605	NP_001307572.1_HUMAN
ORTHOMCL606	NP_001028252.1_HUMAN
ORTHOMCL607	NP_001289194.1_HUMAN
ORTHOMCL608	NP_006102.2_HUMAN
ORTHOMCL609	NP_060017.1_HUMAN
ORTHOMCL610	NP_001276791.1_HUMAN
ORTHOMCL611	NP_001162589.1_HUMAN
ORTHOMCL612	NP_001027006.2_HUMAN
ORTHOMCL613	NP_037399.2_HUMAN
ORTHOMCL614	NP_061172.1_HUMAN
ORTHOMCL615	NP_001017963.2_HUMAN
ORTHOMCL616	NP_001135977.1_HUMAN
