ORTHOMCL420	2077725)]_AMEIU(
ORTHOMCL2824	augustus-utg000247l_pilon-processed-gene-4.8-mRNA-1_PANGA(
ORTHOMCL2825	lcl|CM022752.1_cds_KAF4094237.1_999_AMEIU(
ORTHOMCL2826	lcl|CM022757.1_cds_KAF4088385.1_6828_AMEIU(
ORTHOMCL2827	lcl|CM022773.1_cds_KAF4074365.1_19851_AMEIU(
ORTHOMCL2828	lcl|CM022777.1_cds_KAF4071919.1_22487_AMEIU(
ORTHOMCL2829	20427321)]_AMEIU(
ORTHOMCL3022	augustus-utg000646l_pilon-processed-gene-0.10-mRNA-1_PANGA(
ORTHOMCL3023	lcl|CM022755.1_cds_KAF4090480.1_4304_AMEIU(
ORTHOMCL3024	lcl|CM022765.1_cds_KAF4080122.1_13665_AMEIU(
ORTHOMCL3025	lcl|CM022765.1_cds_KAF4080275.1_13813_AMEIU(
ORTHOMCL3026	lcl|CM022765.1_cds_KAF4080634.1_14171_AMEIU(
ORTHOMCL3027	rna-XM_017462408.1_ICTAL(
ORTHOMCL3322	augustus-utg000016l_pilon-processed-gene-0.6-mRNA-1_PANGA(
ORTHOMCL3323	augustus-utg000167l_pilon-processed-gene-4.10-mRNA-1_PANGA(
ORTHOMCL3324	augustus-utg000197l_pilon-processed-gene-5.16-mRNA-1_PANGA(
ORTHOMCL3325	lcl|CM022753.1_cds_KAF4092088.1_1384_AMEIU(
ORTHOMCL3326	lcl|CM022757.1_cds_KAF4087621.1_6053_AMEIU(
ORTHOMCL3327	lcl|CM022757.1_cds_KAF4088311.1_6842_AMEIU(
ORTHOMCL3328	lcl|CM022778.1_cds_KAF4071697.1_23150_AMEIU(
ORTHOMCL3329	rna-XM_017473908.1_ICTAL(
ORTHOMCL3330	rna-XM_027133318.1_TACHY(
ORTHOMCL3342	19425063)]_AMEIU(
ORTHOMCL3344	26528037)]_AMEIU(
ORTHOMCL4142	augustus-utg000046l_pilon-processed-gene-2.3-mRNA-1_PANGA(
ORTHOMCL4143	augustus-utg000374l_pilon-processed-gene-9.11-mRNA-1_PANGA(
ORTHOMCL4144	lcl|CM022752.1_cds_KAF4093645.1_427_AMEIU(
ORTHOMCL4145	lcl|CM022755.1_cds_KAF4090540.1_4422_AMEIU(
ORTHOMCL4146	lcl|CM022756.1_cds_KAF4088660.1_4723_AMEIU(
ORTHOMCL4147	lcl|CM022756.1_cds_KAF4089516.1_5577_AMEIU(
ORTHOMCL4148	lcl|CM022757.1_cds_KAF4087845.1_6273_AMEIU(
ORTHOMCL4149	lcl|CM022761.1_cds_KAF4084412.1_10679_AMEIU(
ORTHOMCL4150	lcl|CM022766.1_cds_KAF4079704.1_14799_AMEIU(
ORTHOMCL4151	rna-XM_017490400.1_ICTAL(
ORTHOMCL4183	39771119]_AMEIU(
ORTHOMCL4195	8519395)]_AMEIU(
ORTHOMCL7271	augustus-utg000040l_pilon-processed-gene-15.5-mRNA-1_PANGA(
ORTHOMCL7272	augustus-utg000040l_pilon-processed-gene-4.4-mRNA-1_PANGA(
ORTHOMCL7273	augustus-utg000337l_pilon-processed-gene-1.6-mRNA-1_PANGA(
ORTHOMCL7274	augustus-utg000519l_pilon-processed-gene-0.2-mRNA-1_PANGA(
ORTHOMCL7275	lcl|CM022752.1_cds_KAF4093311.1_68_AMEIU(
ORTHOMCL7276	lcl|CM022752.1_cds_KAF4093886.1_664_AMEIU(
ORTHOMCL7277	lcl|CM022755.1_cds_KAF4089834.1_3641_AMEIU(
ORTHOMCL7278	lcl|CM022755.1_cds_KAF4089981.1_3793_AMEIU(
ORTHOMCL7279	lcl|CM022759.1_cds_KAF4085551.1_8015_AMEIU(
ORTHOMCL7280	lcl|CM022761.1_cds_KAF4084259.1_10537_AMEIU(
ORTHOMCL7281	lcl|CM022765.1_cds_KAF4080667.1_14202_AMEIU(
ORTHOMCL7282	lcl|CM022766.1_cds_KAF4079539.1_14634_AMEIU(
ORTHOMCL7283	lcl|CM022772.1_cds_KAF4074911.1_18943_AMEIU(
ORTHOMCL7284	lcl|CM022773.1_cds_KAF4074693.1_20182_AMEIU(
ORTHOMCL7285	lcl|CM022774.1_cds_KAF4073517.1_20364_AMEIU(
ORTHOMCL7286	rna-XM_017454036.1_ICTAL(
ORTHOMCL7293	13269470))]_AMEIU(
ORTHOMCL10013	augustus-utg000118l_pilon-processed-gene-0.1-mRNA-1_PANGA(
ORTHOMCL10014	lcl|CM022756.1_cds_KAF4088608.1_4671_AMEIU(
ORTHOMCL10015	lcl|CM022756.1_cds_KAF4088761.1_4823_AMEIU(
ORTHOMCL10016	lcl|CM022756.1_cds_KAF4089706.1_5788_AMEIU(
ORTHOMCL10017	lcl|CM022758.1_cds_KAF4087404.1_7901_AMEIU(
ORTHOMCL10018	lcl|CM022764.1_cds_KAF4081722.1_13449_AMEIU(
ORTHOMCL10019	lcl|CM022766.1_cds_KAF4079474.1_14575_AMEIU(
ORTHOMCL10020	lcl|CM022772.1_cds_KAF4075493.1_19520_AMEIU(
ORTHOMCL10021	lcl|CM022778.1_cds_KAF4071299.1_22749_AMEIU(
ORTHOMCL10022	lcl|CP034990.1_cds_TNM90570.1_2859_TAKIF(
ORTHOMCL10023	maker-utg000273l_pilon-augustus-gene-0.25-mRNA-1_PANGA(
ORTHOMCL10024	maker-utg000280l_pilon-augustus-gene-0.15-mRNA-1_PANGA(
ORTHOMCL10030	16973962))]_TAKIF(
ORTHOMCL10031	21153512)]_AMEIU(
ORTHOMCL11891	augustus-utg000039l_pilon-processed-gene-0.5-mRNA-1_PANGA(
ORTHOMCL11892	augustus-utg000040l_pilon-processed-gene-25.13-mRNA-1_PANGA(
ORTHOMCL11893	augustus-utg000143l_pilon-processed-gene-2.12-mRNA-1_PANGA(
ORTHOMCL11894	augustus-utg000299l_pilon-processed-gene-9.3-mRNA-1_PANGA(
ORTHOMCL11895	augustus-utg000340l_pilon-processed-gene-2.11-mRNA-1_PANGA(
ORTHOMCL11896	lcl|CM022753.1_cds_KAF4092615.1_1908_AMEIU(
ORTHOMCL11897	lcl|CM022754.1_cds_KAF4091635.1_3318_AMEIU(
ORTHOMCL11898	lcl|CM022755.1_cds_KAF4089970.1_3789_AMEIU(
ORTHOMCL11899	lcl|CM022755.1_cds_KAF4090651.1_4493_AMEIU(
ORTHOMCL11900	lcl|CM022756.1_cds_KAF4088954.1_5035_AMEIU(
ORTHOMCL11901	lcl|CM022756.1_cds_KAF4089372.1_5430_AMEIU(
ORTHOMCL11902	lcl|CM022757.1_cds_KAF4088210.1_6686_AMEIU(
ORTHOMCL11903	lcl|CM022759.1_cds_KAF4085745.1_8234_AMEIU(
ORTHOMCL11904	lcl|CM022759.1_cds_KAF4086128.1_8585_AMEIU(
ORTHOMCL11905	lcl|CM022760.1_cds_KAF4084548.1_8986_AMEIU(
ORTHOMCL11906	lcl|CM022760.1_cds_KAF4084569.1_9019_AMEIU(
ORTHOMCL11907	lcl|CM022760.1_cds_KAF4084641.1_9080_AMEIU(
ORTHOMCL11908	lcl|CM022760.1_cds_KAF4084708.1_9152_AMEIU(
ORTHOMCL11909	lcl|CM022763.1_cds_KAF4082046.1_11954_AMEIU(
ORTHOMCL11910	lcl|CM022764.1_cds_KAF4081737.1_13461_AMEIU(
ORTHOMCL11911	lcl|CM022764.1_cds_KAF4081770.1_13481_AMEIU(
ORTHOMCL11912	lcl|CM022765.1_cds_KAF4080274.1_13812_AMEIU(
ORTHOMCL11913	lcl|CM022765.1_cds_KAF4080337.1_13882_AMEIU(
ORTHOMCL11914	lcl|CM022770.1_cds_KAF4076262.1_17574_AMEIU(
ORTHOMCL11915	lcl|CM022771.1_cds_KAF4076098.1_18735_AMEIU(
ORTHOMCL11916	lcl|CM022772.1_cds_KAF4074925.1_18953_AMEIU(
ORTHOMCL11917	lcl|CM022772.1_cds_KAF4075576.1_19613_AMEIU(
ORTHOMCL11918	lcl|CM022773.1_cds_KAF4074390.1_19884_AMEIU(
ORTHOMCL11919	lcl|CM022773.1_cds_KAF4074427.1_19914_AMEIU(
ORTHOMCL11920	lcl|CM022775.1_cds_KAF4072749.1_20981_AMEIU(
ORTHOMCL11921	lcl|CM022775.1_cds_KAF4072841.1_21067_AMEIU(
ORTHOMCL11922	lcl|CM022776.1_cds_KAF4072472.1_22035_AMEIU(
ORTHOMCL11923	lcl|CM022777.1_cds_KAF4071868.1_22436_AMEIU(
ORTHOMCL11924	lcl|CM022778.1_cds_KAF4071416.1_22859_AMEIU(
ORTHOMCL11925	lcl|CM022778.1_cds_KAF4071418.1_22864_AMEIU(
ORTHOMCL11926	lcl|CM022778.1_cds_KAF4071566.1_23023_AMEIU(
ORTHOMCL11927	maker-utg000604l_pilon-augustus-gene-0.23-mRNA-1_PANGA(
ORTHOMCL11928	rna-XM_017462188.1_ICTAL(
ORTHOMCL11929	rna-XM_017473282.1_ICTAL(
ORTHOMCL11930	rna-XM_027138678.1_TACHY(
ORTHOMCL11939	165491)]_AMEIU(
ORTHOMCL11945	33496701)]_AMEIU(
ORTHOMCL11947	5060948)]_TAKIF(
ORTHOMCL11948	8724225)]_AMEIU(
ORTHOMCL13293	augustus-utg000006l_pilon-processed-gene-14.1-mRNA-1_PANGA(
ORTHOMCL13294	augustus-utg000011l_pilon-processed-gene-1.7-mRNA-1_PANGA(
ORTHOMCL13295	augustus-utg000024l_pilon-processed-gene-1.12-mRNA-1_PANGA(
ORTHOMCL13296	augustus-utg000047l_pilon-processed-gene-8.3-mRNA-1_PANGA(
ORTHOMCL13297	augustus-utg000047l_pilon-processed-gene-9.9-mRNA-1_PANGA(
ORTHOMCL13298	augustus-utg000059l_pilon-processed-gene-1.2-mRNA-1_PANGA(
ORTHOMCL13299	augustus-utg000111l_pilon-processed-gene-15.19-mRNA-1_PANGA(
ORTHOMCL13300	augustus-utg000112l_pilon-processed-gene-0.6-mRNA-1_PANGA(
ORTHOMCL13301	augustus-utg000131l_pilon-processed-gene-2.20-mRNA-1_PANGA(
ORTHOMCL13302	augustus-utg000143l_pilon-processed-gene-8.3-mRNA-1_PANGA(
ORTHOMCL13303	augustus-utg000167l_pilon-processed-gene-1.17-mRNA-1_PANGA(
ORTHOMCL13304	augustus-utg000167l_pilon-processed-gene-3.14-mRNA-1_PANGA(
ORTHOMCL13305	augustus-utg000211l_pilon-processed-gene-0.2-mRNA-1_PANGA(
ORTHOMCL13306	augustus-utg000211l_pilon-processed-gene-0.21-mRNA-1_PANGA(
ORTHOMCL13307	augustus-utg000248l_pilon-processed-gene-4.0-mRNA-1_PANGA(
ORTHOMCL13308	augustus-utg000259l_pilon-processed-gene-12.4-mRNA-1_PANGA(
ORTHOMCL13309	augustus-utg000265l_pilon-processed-gene-4.0-mRNA-1_PANGA(
ORTHOMCL13310	augustus-utg000323l_pilon-processed-gene-0.3-mRNA-1_PANGA(
ORTHOMCL13311	augustus-utg000334l_pilon-processed-gene-20.0-mRNA-1_PANGA(
ORTHOMCL13312	augustus-utg000352l_pilon-processed-gene-0.38-mRNA-1_PANGA(
ORTHOMCL13313	augustus-utg000366l_pilon-processed-gene-0.4-mRNA-1_PANGA(
ORTHOMCL13314	augustus-utg000384l_pilon-processed-gene-0.6-mRNA-1_PANGA(
ORTHOMCL13315	augustus-utg000423l_pilon-processed-gene-7.1-mRNA-1_PANGA(
ORTHOMCL13316	augustus-utg000436l_pilon-processed-gene-1.13-mRNA-1_PANGA(
ORTHOMCL13317	augustus-utg000453l_pilon-processed-gene-13.4-mRNA-1_PANGA(
ORTHOMCL13318	augustus-utg000466l_pilon-processed-gene-4.17-mRNA-1_PANGA(
ORTHOMCL13319	augustus-utg000486l_pilon-processed-gene-3.0-mRNA-1_PANGA(
ORTHOMCL13320	augustus-utg000503l_pilon-processed-gene-0.1-mRNA-1_PANGA(
ORTHOMCL13321	augustus-utg000503l_pilon-processed-gene-1.6-mRNA-1_PANGA(
ORTHOMCL13322	augustus-utg000536l_pilon-processed-gene-3.17-mRNA-1_PANGA(
ORTHOMCL13323	augustus-utg000543l_pilon-processed-gene-1.6-mRNA-1_PANGA(
ORTHOMCL13324	augustus-utg000612l_pilon-processed-gene-0.18-mRNA-1_PANGA(
ORTHOMCL13325	augustus-utg000748l_pilon-processed-gene-0.2-mRNA-1_PANGA(
ORTHOMCL13326	lcl|CM022752.1_cds_KAF4093751.1_508_AMEIU(
ORTHOMCL13327	lcl|CM022752.1_cds_KAF4093825.1_591_AMEIU(
ORTHOMCL13328	lcl|CM022753.1_cds_KAF4092365.1_1653_AMEIU(
ORTHOMCL13329	lcl|CM022753.1_cds_KAF4092368.1_1658_AMEIU(
ORTHOMCL13330	lcl|CM022753.1_cds_KAF4092598.1_1889_AMEIU(
ORTHOMCL13331	lcl|CM022753.1_cds_KAF4092612.1_1897_AMEIU(
ORTHOMCL13332	lcl|CM022753.1_cds_KAF4092855.1_2193_AMEIU(
ORTHOMCL13333	lcl|CM022754.1_cds_KAF4090891.1_2577_AMEIU(
ORTHOMCL13334	lcl|CM022754.1_cds_KAF4091304.1_2994_AMEIU(
ORTHOMCL13335	lcl|CM022754.1_cds_KAF4091921.1_3605_AMEIU(
ORTHOMCL13336	lcl|CM022755.1_cds_KAF4090136.1_3952_AMEIU(
ORTHOMCL13337	lcl|CM022755.1_cds_KAF4090282.1_4098_AMEIU(
ORTHOMCL13338	lcl|CM022755.1_cds_KAF4090430.1_4243_AMEIU(
ORTHOMCL13339	lcl|CM022755.1_cds_KAF4090649.1_4463_AMEIU(
ORTHOMCL13340	lcl|CM022755.1_cds_KAF4090658.1_4495_AMEIU(
ORTHOMCL13341	lcl|CM022755.1_cds_KAF4090751.1_4594_AMEIU(
ORTHOMCL13342	lcl|CM022756.1_cds_KAF4088603.1_4660_AMEIU(
ORTHOMCL13343	lcl|CM022756.1_cds_KAF4088775.1_4853_AMEIU(
ORTHOMCL13344	lcl|CM022756.1_cds_KAF4088815.1_4887_AMEIU(
ORTHOMCL13345	lcl|CM022756.1_cds_KAF4088906.1_4970_AMEIU(
ORTHOMCL13346	lcl|CM022756.1_cds_KAF4088965.1_5027_AMEIU(
ORTHOMCL13347	lcl|CM022756.1_cds_KAF4089049.1_5120_AMEIU(
ORTHOMCL13348	lcl|CM022756.1_cds_KAF4089378.1_5437_AMEIU(
ORTHOMCL13349	lcl|CM022756.1_cds_KAF4089435.1_5531_AMEIU(
ORTHOMCL13350	lcl|CM022757.1_cds_KAF4087589.1_6016_AMEIU(
ORTHOMCL13351	lcl|CM022757.1_cds_KAF4087992.1_6418_AMEIU(
ORTHOMCL13352	lcl|CM022757.1_cds_KAF4088199.1_6597_AMEIU(
ORTHOMCL13353	lcl|CM022757.1_cds_KAF4088472.1_6861_AMEIU(
ORTHOMCL13354	lcl|CM022757.1_cds_KAF4088593.1_7012_AMEIU(
ORTHOMCL13355	lcl|CM022758.1_cds_KAF4086637.1_7137_AMEIU(
ORTHOMCL13356	lcl|CM022758.1_cds_KAF4087007.1_7515_AMEIU(
ORTHOMCL13357	lcl|CM022758.1_cds_KAF4087199.1_7692_AMEIU(
ORTHOMCL13358	lcl|CM022759.1_cds_KAF4085722.1_8181_AMEIU(
ORTHOMCL13359	lcl|CM022759.1_cds_KAF4085878.1_8335_AMEIU(
ORTHOMCL13360	lcl|CM022760.1_cds_KAF4084539.1_8987_AMEIU(
ORTHOMCL13361	lcl|CM022761.1_cds_KAF4083729.1_10018_AMEIU(
ORTHOMCL13362	lcl|CM022761.1_cds_KAF4084241.1_10532_AMEIU(
ORTHOMCL13363	lcl|CM022761.1_cds_KAF4084258.1_10535_AMEIU(
ORTHOMCL13364	lcl|CM022761.1_cds_KAF4084404.1_10683_AMEIU(
ORTHOMCL13365	lcl|CM022761.1_cds_KAF4084489.1_10778_AMEIU(
ORTHOMCL13366	lcl|CM022762.1_cds_KAF4083457.1_11540_AMEIU(
ORTHOMCL13367	lcl|CM022762.1_cds_KAF4083467.1_11552_AMEIU(
ORTHOMCL13368	lcl|CM022762.1_cds_KAF4083616.1_11679_AMEIU(
ORTHOMCL13369	lcl|CM022763.1_cds_KAF4081814.1_11723_AMEIU(
ORTHOMCL13370	lcl|CM022763.1_cds_KAF4082053.1_11968_AMEIU(
ORTHOMCL13371	lcl|CM022763.1_cds_KAF4082664.1_12572_AMEIU(
ORTHOMCL13372	lcl|CM022764.1_cds_KAF4081002.1_12719_AMEIU(
ORTHOMCL13373	lcl|CM022764.1_cds_KAF4081162.1_12886_AMEIU(
ORTHOMCL13374	lcl|CM022764.1_cds_KAF4081489.1_13210_AMEIU(
ORTHOMCL13375	lcl|CM022764.1_cds_KAF4081685.1_13413_AMEIU(
ORTHOMCL13376	lcl|CM022764.1_cds_KAF4081724.1_13454_AMEIU(
ORTHOMCL13377	lcl|CM022764.1_cds_KAF4081759.1_13482_AMEIU(
ORTHOMCL13378	lcl|CM022765.1_cds_KAF4080390.1_13931_AMEIU(
ORTHOMCL13379	lcl|CM022765.1_cds_KAF4080408.1_13943_AMEIU(
ORTHOMCL13380	lcl|CM022765.1_cds_KAF4080644.1_14170_AMEIU(
ORTHOMCL13381	lcl|CM022766.1_cds_KAF4079468.1_14571_AMEIU(
ORTHOMCL13382	lcl|CM022766.1_cds_KAF4079574.1_14676_AMEIU(
ORTHOMCL13383	lcl|CM022766.1_cds_KAF4079663.1_14762_AMEIU(
ORTHOMCL13384	lcl|CM022766.1_cds_KAF4079874.1_14974_AMEIU(
ORTHOMCL13385	lcl|CM022767.1_cds_KAF4079044.1_15426_AMEIU(
ORTHOMCL13386	lcl|CM022767.1_cds_KAF4079069.1_15456_AMEIU(
ORTHOMCL13387	lcl|CM022767.1_cds_KAF4079263.1_15645_AMEIU(
ORTHOMCL13388	lcl|CM022768.1_cds_KAF4077908.1_15852_AMEIU(
ORTHOMCL13389	lcl|CM022768.1_cds_KAF4078069.1_16016_AMEIU(
ORTHOMCL13390	lcl|CM022768.1_cds_KAF4078207.1_16139_AMEIU(
ORTHOMCL13391	lcl|CM022768.1_cds_KAF4078667.1_16610_AMEIU(
ORTHOMCL13392	lcl|CM022769.1_cds_KAF4076978.1_16704_AMEIU(
ORTHOMCL13393	lcl|CM022769.1_cds_KAF4077226.1_16965_AMEIU(
ORTHOMCL13394	lcl|CM022769.1_cds_KAF4077493.1_17238_AMEIU(
ORTHOMCL13395	lcl|CM022770.1_cds_KAF4076770.1_18077_AMEIU(
ORTHOMCL13396	lcl|CM022770.1_cds_KAF4076771.1_18064_AMEIU(
ORTHOMCL13397	lcl|CM022771.1_cds_KAF4076038.1_18683_AMEIU(
ORTHOMCL13398	lcl|CM022771.1_cds_KAF4076041.1_18672_AMEIU(
ORTHOMCL13399	lcl|CM022771.1_cds_KAF4076045.1_18679_AMEIU(
ORTHOMCL13400	lcl|CM022771.1_cds_KAF4076173.1_18823_AMEIU(
ORTHOMCL13401	lcl|CM022771.1_cds_KAF4076233.1_18868_AMEIU(
ORTHOMCL13402	lcl|CM022772.1_cds_KAF4075415.1_19447_AMEIU(
ORTHOMCL13403	lcl|CM022772.1_cds_KAF4075507.1_19539_AMEIU(
ORTHOMCL13404	lcl|CM022773.1_cds_KAF4074467.1_19949_AMEIU(
ORTHOMCL13405	lcl|CM022774.1_cds_KAF4073729.1_20578_AMEIU(
ORTHOMCL13406	lcl|CM022774.1_cds_KAF4073742.1_20580_AMEIU(
ORTHOMCL13407	lcl|CM022774.1_cds_KAF4073839.1_20677_AMEIU(
ORTHOMCL13408	lcl|CM022774.1_cds_KAF4073850.1_20698_AMEIU(
ORTHOMCL13409	lcl|CM022774.1_cds_KAF4073946.1_20799_AMEIU(
ORTHOMCL13410	lcl|CM022775.1_cds_KAF4072949.1_21173_AMEIU(
ORTHOMCL13411	lcl|CM022776.1_cds_KAF4072328.1_21908_AMEIU(
ORTHOMCL13412	lcl|CM022776.1_cds_KAF4072408.1_21982_AMEIU(
ORTHOMCL13413	lcl|CM022776.1_cds_KAF4072719.1_22293_AMEIU(
ORTHOMCL13414	lcl|CM022777.1_cds_KAF4072018.1_22586_AMEIU(
ORTHOMCL13415	lcl|CM022777.1_cds_KAF4072111.1_22678_AMEIU(
ORTHOMCL13416	lcl|CM022778.1_cds_KAF4071397.1_22850_AMEIU(
ORTHOMCL13417	lcl|CM022778.1_cds_KAF4071484.1_22936_AMEIU(
ORTHOMCL13418	lcl|CM022779.1_cds_KAF4070764.1_23240_AMEIU(
ORTHOMCL13419	lcl|CM022779.1_cds_KAF4070945.1_23427_AMEIU(
ORTHOMCL13420	lcl|CM022780.1_cds_KAF4070343.1_23793_AMEIU(
ORTHOMCL13421	lcl|CM022780.1_cds_KAF4070374.1_23808_AMEIU(
ORTHOMCL13422	lcl|CM022780.1_cds_KAF4070624.1_24063_AMEIU(
ORTHOMCL13423	lcl|CM022780.1_cds_KAF4070648.1_24097_AMEIU(
ORTHOMCL13424	lcl|VCAZ01000003.1_cds_TSK16212.1_10426_BAGAR(
ORTHOMCL13425	maker-utg000340l_pilon-augustus-gene-10.37-mRNA-1_PANGA(
ORTHOMCL13426	rna-XM_017462431.1_ICTAL(
ORTHOMCL13427	rna-XM_017473570.1_ICTAL(
ORTHOMCL13428	rna-XM_027160275.1_TACHY(
ORTHOMCL13432	12945711))]_AMEIU(
ORTHOMCL13433	14432465))]_AMEIU(
ORTHOMCL13434	14692418))]_AMEIU(
ORTHOMCL13436	18108966)]_AMEIU(
ORTHOMCL13437	18377331)]_AMEIU(
ORTHOMCL13441	2903655))]_AMEIU(
ORTHOMCL13444	33343508]_AMEIU(
ORTHOMCL13447	6503300)]_AMEIU(
ORTHOMCL13448	9080480)]_AMEIU(
ORTHOMCL14280	augustus-utg000006l_pilon-processed-gene-1.4-mRNA-1_PANGA(
ORTHOMCL14281	augustus-utg000006l_pilon-processed-gene-8.8-mRNA-1_PANGA(
ORTHOMCL14282	augustus-utg000008l_pilon-processed-gene-1.1-mRNA-1_PANGA(
ORTHOMCL14283	augustus-utg000024l_pilon-processed-gene-6.10-mRNA-1_PANGA(
ORTHOMCL14284	augustus-utg000033l_pilon-processed-gene-16.5-mRNA-1_PANGA(
ORTHOMCL14285	augustus-utg000036l_pilon-processed-gene-6.20-mRNA-1_PANGA(
ORTHOMCL14286	augustus-utg000037l_pilon-processed-gene-30.6-mRNA-1_PANGA(
ORTHOMCL14287	augustus-utg000039l_pilon-processed-gene-4.5-mRNA-1_PANGA(
ORTHOMCL14288	augustus-utg000040l_pilon-processed-gene-7.2-mRNA-1_PANGA(
ORTHOMCL14289	augustus-utg000040l_pilon-processed-gene-7.3-mRNA-1_PANGA(
ORTHOMCL14290	augustus-utg000046l_pilon-processed-gene-10.13-mRNA-1_PANGA(
ORTHOMCL14291	augustus-utg000047l_pilon-processed-gene-12.12-mRNA-1_PANGA(
ORTHOMCL14292	augustus-utg000050l_pilon-processed-gene-10.8-mRNA-1_PANGA(
ORTHOMCL14293	augustus-utg000059l_pilon-processed-gene-13.8-mRNA-1_PANGA(
ORTHOMCL14294	augustus-utg000060l_pilon-processed-gene-1.7-mRNA-1_PANGA(
ORTHOMCL14295	augustus-utg000063l_pilon-processed-gene-0.15-mRNA-1_PANGA(
ORTHOMCL14296	augustus-utg000072l_pilon-processed-gene-14.2-mRNA-1_PANGA(
ORTHOMCL14297	augustus-utg000092l_pilon-processed-gene-6.1-mRNA-1_PANGA(
ORTHOMCL14298	augustus-utg000092l_pilon-processed-gene-6.3-mRNA-1_PANGA(
ORTHOMCL14299	augustus-utg000092l_pilon-processed-gene-9.11-mRNA-1_PANGA(
ORTHOMCL14300	augustus-utg000094l_pilon-processed-gene-22.4-mRNA-1_PANGA(
ORTHOMCL14301	augustus-utg000111l_pilon-processed-gene-5.2-mRNA-1_PANGA(
ORTHOMCL14302	augustus-utg000112l_pilon-processed-gene-2.10-mRNA-1_PANGA(
ORTHOMCL14303	augustus-utg000143l_pilon-processed-gene-18.9-mRNA-1_PANGA(
ORTHOMCL14304	augustus-utg000143l_pilon-processed-gene-2.14-mRNA-1_PANGA(
ORTHOMCL14305	augustus-utg000143l_pilon-processed-gene-24.1-mRNA-1_PANGA(
ORTHOMCL14306	augustus-utg000143l_pilon-processed-gene-5.1-mRNA-1_PANGA(
ORTHOMCL14307	augustus-utg000150l_pilon-processed-gene-2.3-mRNA-1_PANGA(
ORTHOMCL14308	augustus-utg000151l_pilon-processed-gene-0.6-mRNA-1_PANGA(
ORTHOMCL14309	augustus-utg000161l_pilon-processed-gene-6.10-mRNA-1_PANGA(
ORTHOMCL14310	augustus-utg000175l_pilon-processed-gene-7.9-mRNA-1_PANGA(
ORTHOMCL14311	augustus-utg000179l_pilon-processed-gene-12.7-mRNA-1_PANGA(
ORTHOMCL14312	augustus-utg000182l_pilon-processed-gene-5.8-mRNA-1_PANGA(
ORTHOMCL14313	augustus-utg000183l_pilon-processed-gene-5.3-mRNA-1_PANGA(
ORTHOMCL14314	augustus-utg000198l_pilon-processed-gene-1.9-mRNA-1_PANGA(
