ORTHOMCL1	ENSDARG00000034095_ZEBRA
ORTHOMCL2432	ENSDARG00000018619_ZEBRA
ORTHOMCL2435	ENSDARG00000019752_ZEBRA
ORTHOMCL2445	ENSDARG00000024588_ZEBRA
ORTHOMCL2446	ENSDARG00000024619_ZEBRA
ORTHOMCL2447	ENSDARG00000025108_ZEBRA
ORTHOMCL2452	ENSDARG00000029894_ZEBRA
ORTHOMCL2457	ENSDARG00000031814_ZEBRA
ORTHOMCL2458	ENSDARG00000032156_ZEBRA
ORTHOMCL2482	ENSDARG00000042726_ZEBRA
ORTHOMCL2495	ENSDARG00000052065_ZEBRA
ORTHOMCL2501	ENSDARG00000054307_ZEBRA
ORTHOMCL2502	ENSDARG00000054363_ZEBRA
ORTHOMCL2534	ENSDARG00000068030_ZEBRA
ORTHOMCL2536	ENSDARG00000069548_ZEBRA
ORTHOMCL2538	ENSDARG00000070100_ZEBRA
ORTHOMCL2554	ENSDARG00000076539_ZEBRA
ORTHOMCL2557	ENSDARG00000076959_ZEBRA
ORTHOMCL2559	ENSDARG00000077146_ZEBRA
ORTHOMCL2565	ENSDARG00000078164_ZEBRA
ORTHOMCL2573	ENSDARG00000088023_ZEBRA
ORTHOMCL2575	ENSDARG00000089082_ZEBRA
ORTHOMCL2576	ENSDARG00000090776_ZEBRA
ORTHOMCL2582	ENSDARG00000096932_ZEBRA
ORTHOMCL2604	ENSDARG00000095331_ZEBRA
ORTHOMCL2626	ENSDARG00000007053_ZEBRA
ORTHOMCL2627	ENSDARG00000007099_ZEBRA
ORTHOMCL2635	ENSDARG00000009564_ZEBRA
ORTHOMCL2657	ENSDARG00000015902_ZEBRA
ORTHOMCL2670	ENSDARG00000021660_ZEBRA
ORTHOMCL2672	ENSDARG00000022739_ZEBRA
ORTHOMCL2675	ENSDARG00000023991_ZEBRA
ORTHOMCL2695	ENSDARG00000030758_ZEBRA
ORTHOMCL2711	ENSDARG00000037914_ZEBRA
ORTHOMCL2715	ENSDARG00000038658_ZEBRA
ORTHOMCL2719	ENSDARG00000040249_ZEBRA
ORTHOMCL2720	ENSDARG00000040526_ZEBRA
ORTHOMCL2724	ENSDARG00000041727_ZEBRA
ORTHOMCL2725	ENSDARG00000042492_ZEBRA
ORTHOMCL2727	ENSDARG00000043812_ZEBRA
ORTHOMCL2729	ENSDARG00000044670_ZEBRA
ORTHOMCL2746	ENSDARG00000058445_ZEBRA
ORTHOMCL2764	ENSDARG00000067697_ZEBRA
ORTHOMCL2765	ENSDARG00000068325_ZEBRA
ORTHOMCL2776	ENSDARG00000070950_ZEBRA
ORTHOMCL2777	ENSDARG00000071279_ZEBRA
ORTHOMCL2797	ENSDARG00000086113_ZEBRA
ORTHOMCL2799	ENSDARG00000086688_ZEBRA
ORTHOMCL2801	ENSDARG00000089645_ZEBRA
ORTHOMCL2830	ENSDARG00000016056_ZEBRA
ORTHOMCL2834	ENSDARG00000061424_ZEBRA
ORTHOMCL2842	ENSDARG00000001760_ZEBRA
ORTHOMCL2845	ENSDARG00000004018_ZEBRA
ORTHOMCL2853	ENSDARG00000007436_ZEBRA
ORTHOMCL2855	ENSDARG00000007976_ZEBRA
ORTHOMCL2861	ENSDARG00000012449_ZEBRA
ORTHOMCL2870	ENSDARG00000016789_ZEBRA
ORTHOMCL2883	ENSDARG00000023203_ZEBRA
ORTHOMCL2888	ENSDARG00000024503_ZEBRA
ORTHOMCL2891	ENSDARG00000026979_ZEBRA
ORTHOMCL2906	ENSDARG00000036698_ZEBRA
ORTHOMCL2907	ENSDARG00000037073_ZEBRA
ORTHOMCL2908	ENSDARG00000037341_ZEBRA
ORTHOMCL2909	ENSDARG00000037675_ZEBRA
ORTHOMCL2920	ENSDARG00000042809_ZEBRA
ORTHOMCL2921	ENSDARG00000042810_ZEBRA
ORTHOMCL2925	ENSDARG00000044704_ZEBRA
ORTHOMCL2935	ENSDARG00000053135_ZEBRA
ORTHOMCL2942	ENSDARG00000055479_ZEBRA
ORTHOMCL2948	ENSDARG00000056651_ZEBRA
ORTHOMCL2950	ENSDARG00000056771_ZEBRA
ORTHOMCL2957	ENSDARG00000060578_ZEBRA
ORTHOMCL2975	ENSDARG00000074102_ZEBRA
ORTHOMCL2978	ENSDARG00000075510_ZEBRA
ORTHOMCL2982	ENSDARG00000075805_ZEBRA
ORTHOMCL2987	ENSDARG00000076971_ZEBRA
ORTHOMCL2991	ENSDARG00000078979_ZEBRA
ORTHOMCL2995	ENSDARG00000088112_ZEBRA
ORTHOMCL2997	ENSDARG00000089832_ZEBRA
ORTHOMCL2998	ENSDARG00000090900_ZEBRA
ORTHOMCL3002	ENSDARG00000091570_ZEBRA
ORTHOMCL3004	ENSDARG00000094890_ZEBRA
ORTHOMCL3005	ENSDARG00000096556_ZEBRA
ORTHOMCL3038	ENSDARG00000086201_ZEBRA
ORTHOMCL3044	ENSDARG00000003381_ZEBRA
ORTHOMCL3068	ENSDARG00000009094_ZEBRA
ORTHOMCL3076	ENSDARG00000010541_ZEBRA
ORTHOMCL3081	ENSDARG00000012610_ZEBRA
ORTHOMCL3107	ENSDARG00000019318_ZEBRA
ORTHOMCL3113	ENSDARG00000021150_ZEBRA
ORTHOMCL3117	ENSDARG00000022185_ZEBRA
ORTHOMCL3123	ENSDARG00000023861_ZEBRA
ORTHOMCL3127	ENSDARG00000025046_ZEBRA
ORTHOMCL3150	ENSDARG00000037192_ZEBRA
ORTHOMCL3166	ENSDARG00000040781_ZEBRA
ORTHOMCL3174	ENSDARG00000044048_ZEBRA
ORTHOMCL3175	ENSDARG00000044212_ZEBRA
ORTHOMCL3189	ENSDARG00000054136_ZEBRA
ORTHOMCL3195	ENSDARG00000055186_ZEBRA
ORTHOMCL3196	ENSDARG00000055263_ZEBRA
ORTHOMCL3197	ENSDARG00000055504_ZEBRA
ORTHOMCL3198	ENSDARG00000056008_ZEBRA
ORTHOMCL3200	ENSDARG00000056080_ZEBRA
ORTHOMCL3213	ENSDARG00000059173_ZEBRA
ORTHOMCL3236	ENSDARG00000067957_ZEBRA
ORTHOMCL3242	ENSDARG00000068963_ZEBRA
ORTHOMCL3244	ENSDARG00000069216_ZEBRA
ORTHOMCL3256	ENSDARG00000074334_ZEBRA
ORTHOMCL3259	ENSDARG00000074610_ZEBRA
ORTHOMCL3267	ENSDARG00000075697_ZEBRA
ORTHOMCL3283	ENSDARG00000078472_ZEBRA
ORTHOMCL3299	ENSDARG00000088874_ZEBRA
ORTHOMCL3305	ENSDARG00000093126_ZEBRA
ORTHOMCL3307	ENSDARG00000093998_ZEBRA
ORTHOMCL3308	ENSDARG00000094133_ZEBRA
ORTHOMCL3331	ENSDARG00000068915_ZEBRA
ORTHOMCL3339	ENSDARG00000057941_ZEBRA
ORTHOMCL3343	ENSDARG00000097309_ZEBRA
ORTHOMCL3348	ENSDARG00000087389_ZEBRA
ORTHOMCL3359	ENSDARG00000058906_ZEBRA
ORTHOMCL3365	ENSDARG00000002259_ZEBRA
ORTHOMCL3411	ENSDARG00000006109_ZEBRA
ORTHOMCL3434	ENSDARG00000008049_ZEBRA
ORTHOMCL3588	ENSDARG00000028367_ZEBRA
ORTHOMCL3597	ENSDARG00000030478_ZEBRA
ORTHOMCL3620	ENSDARG00000034210_ZEBRA
ORTHOMCL3623	ENSDARG00000034598_ZEBRA
ORTHOMCL3644	ENSDARG00000036671_ZEBRA
ORTHOMCL3663	ENSDARG00000038747_ZEBRA
ORTHOMCL3702	ENSDARG00000042643_ZEBRA
ORTHOMCL3715	ENSDARG00000043416_ZEBRA
ORTHOMCL3769	ENSDARG00000054400_ZEBRA
ORTHOMCL3826	ENSDARG00000058984_ZEBRA
ORTHOMCL3888	ENSDARG00000062429_ZEBRA
ORTHOMCL3891	ENSDARG00000062788_ZEBRA
ORTHOMCL3933	ENSDARG00000070132_ZEBRA
ORTHOMCL3938	ENSDARG00000070439_ZEBRA
ORTHOMCL3943	ENSDARG00000070830_ZEBRA
ORTHOMCL3949	ENSDARG00000071446_ZEBRA
ORTHOMCL3954	ENSDARG00000073742_ZEBRA
ORTHOMCL3966	ENSDARG00000074390_ZEBRA
ORTHOMCL3989	ENSDARG00000075301_ZEBRA
ORTHOMCL4011	ENSDARG00000076319_ZEBRA
ORTHOMCL4072	ENSDARG00000086475_ZEBRA
ORTHOMCL4081	ENSDARG00000087879_ZEBRA
ORTHOMCL4087	ENSDARG00000088572_ZEBRA
ORTHOMCL4091	ENSDARG00000088793_ZEBRA
ORTHOMCL4099	ENSDARG00000089854_ZEBRA
ORTHOMCL4102	ENSDARG00000090129_ZEBRA
ORTHOMCL4109	ENSDARG00000090892_ZEBRA
ORTHOMCL4112	ENSDARG00000091215_ZEBRA
ORTHOMCL4115	ENSDARG00000092721_ZEBRA
ORTHOMCL4117	ENSDARG00000092919_ZEBRA
ORTHOMCL4159	ENSDARG00000094522_ZEBRA
ORTHOMCL4165	ENSDARG00000088172_ZEBRA
ORTHOMCL4198	ENSDARG00000076574_ZEBRA
ORTHOMCL4305	ENSDARG00000003687_ZEBRA
ORTHOMCL4574	ENSDARG00000010764_ZEBRA
ORTHOMCL4575	ENSDARG00000010782_ZEBRA
ORTHOMCL4687	ENSDARG00000014323_ZEBRA
ORTHOMCL4731	ENSDARG00000015678_ZEBRA
ORTHOMCL4839	ENSDARG00000018506_ZEBRA
ORTHOMCL4995	ENSDARG00000023499_ZEBRA
ORTHOMCL5186	ENSDARG00000031051_ZEBRA
ORTHOMCL5202	ENSDARG00000031537_ZEBRA
ORTHOMCL5273	ENSDARG00000034243_ZEBRA
ORTHOMCL5349	ENSDARG00000036337_ZEBRA
ORTHOMCL5486	ENSDARG00000039462_ZEBRA
ORTHOMCL5523	ENSDARG00000040430_ZEBRA
ORTHOMCL5592	ENSDARG00000042008_ZEBRA
ORTHOMCL5631	ENSDARG00000042903_ZEBRA
ORTHOMCL5744	ENSDARG00000045423_ZEBRA
ORTHOMCL5756	ENSDARG00000045595_ZEBRA
ORTHOMCL5849	ENSDARG00000052949_ZEBRA
ORTHOMCL5861	ENSDARG00000053159_ZEBRA
ORTHOMCL5916	ENSDARG00000054645_ZEBRA
ORTHOMCL6030	ENSDARG00000056911_ZEBRA
ORTHOMCL6106	ENSDARG00000058366_ZEBRA
ORTHOMCL6108	ENSDARG00000058409_ZEBRA
ORTHOMCL6147	ENSDARG00000059315_ZEBRA
ORTHOMCL6408	ENSDARG00000063545_ZEBRA
ORTHOMCL6442	ENSDARG00000068088_ZEBRA
ORTHOMCL6509	ENSDARG00000069593_ZEBRA
ORTHOMCL6518	ENSDARG00000069769_ZEBRA
ORTHOMCL6532	ENSDARG00000069998_ZEBRA
ORTHOMCL6560	ENSDARG00000070489_ZEBRA
ORTHOMCL6578	ENSDARG00000070898_ZEBRA
ORTHOMCL6588	ENSDARG00000071083_ZEBRA
ORTHOMCL6623	ENSDARG00000073726_ZEBRA
ORTHOMCL6656	ENSDARG00000074361_ZEBRA
ORTHOMCL6736	ENSDARG00000075411_ZEBRA
ORTHOMCL6822	ENSDARG00000076828_ZEBRA
ORTHOMCL6843	ENSDARG00000077169_ZEBRA
ORTHOMCL6923	ENSDARG00000078495_ZEBRA
ORTHOMCL6979	ENSDARG00000079310_ZEBRA
ORTHOMCL7029	ENSDARG00000086196_ZEBRA
ORTHOMCL7057	ENSDARG00000087190_ZEBRA
ORTHOMCL7161	ENSDARG00000090890_ZEBRA
ORTHOMCL7171	ENSDARG00000091411_ZEBRA
ORTHOMCL7176	ENSDARG00000091584_ZEBRA
ORTHOMCL7179	ENSDARG00000091631_ZEBRA
ORTHOMCL7188	ENSDARG00000091818_ZEBRA
ORTHOMCL7196	ENSDARG00000092976_ZEBRA
ORTHOMCL7207	ENSDARG00000093811_ZEBRA
ORTHOMCL7210	ENSDARG00000093960_ZEBRA
ORTHOMCL7216	ENSDARG00000094928_ZEBRA
ORTHOMCL7299	ENSDARG00000028389_ZEBRA
ORTHOMCL7305	ENSDARG00000097012_ZEBRA
ORTHOMCL7307	ENSDARG00000095912_ZEBRA
ORTHOMCL7308	ENSDARG00000090275_ZEBRA
ORTHOMCL7312	ENSDARG00000053709_ZEBRA
ORTHOMCL7313	ENSDARG00000053005_ZEBRA
ORTHOMCL7315	ENSDARG00000058347_ZEBRA
ORTHOMCL7352	ENSDARG00000002509_ZEBRA
ORTHOMCL7401	ENSDARG00000004049_ZEBRA
ORTHOMCL7435	ENSDARG00000005525_ZEBRA
ORTHOMCL7444	ENSDARG00000005780_ZEBRA
ORTHOMCL7448	ENSDARG00000005865_ZEBRA
ORTHOMCL7501	ENSDARG00000007751_ZEBRA
ORTHOMCL7537	ENSDARG00000009372_ZEBRA
ORTHOMCL7539	ENSDARG00000009466_ZEBRA
ORTHOMCL7550	ENSDARG00000009825_ZEBRA
ORTHOMCL7582	ENSDARG00000011371_ZEBRA
ORTHOMCL7708	ENSDARG00000016364_ZEBRA
ORTHOMCL7732	ENSDARG00000017111_ZEBRA
ORTHOMCL7737	ENSDARG00000017299_ZEBRA
ORTHOMCL7760	ENSDARG00000018105_ZEBRA
ORTHOMCL7764	ENSDARG00000018264_ZEBRA
ORTHOMCL7793	ENSDARG00000019191_ZEBRA
ORTHOMCL7836	ENSDARG00000020455_ZEBRA
ORTHOMCL7853	ENSDARG00000020978_ZEBRA
ORTHOMCL7855	ENSDARG00000020994_ZEBRA
ORTHOMCL7876	ENSDARG00000021677_ZEBRA
ORTHOMCL7890	ENSDARG00000022372_ZEBRA
ORTHOMCL7903	ENSDARG00000023261_ZEBRA
ORTHOMCL7926	ENSDARG00000024522_ZEBRA
ORTHOMCL7934	ENSDARG00000025150_ZEBRA
ORTHOMCL7939	ENSDARG00000025465_ZEBRA
ORTHOMCL7955	ENSDARG00000026236_ZEBRA
ORTHOMCL7957	ENSDARG00000026296_ZEBRA
ORTHOMCL7962	ENSDARG00000026505_ZEBRA
ORTHOMCL8013	ENSDARG00000028842_ZEBRA
ORTHOMCL8052	ENSDARG00000030254_ZEBRA
ORTHOMCL8055	ENSDARG00000030350_ZEBRA
ORTHOMCL8086	ENSDARG00000031761_ZEBRA
ORTHOMCL8117	ENSDARG00000032896_ZEBRA
ORTHOMCL8123	ENSDARG00000032993_ZEBRA
ORTHOMCL8129	ENSDARG00000033296_ZEBRA
ORTHOMCL8156	ENSDARG00000034430_ZEBRA
ORTHOMCL8226	ENSDARG00000036445_ZEBRA
ORTHOMCL8255	ENSDARG00000037147_ZEBRA
ORTHOMCL8261	ENSDARG00000037276_ZEBRA
ORTHOMCL8301	ENSDARG00000038112_ZEBRA
ORTHOMCL8321	ENSDARG00000038728_ZEBRA
ORTHOMCL8336	ENSDARG00000039096_ZEBRA
ORTHOMCL8360	ENSDARG00000039752_ZEBRA
ORTHOMCL8384	ENSDARG00000040319_ZEBRA
ORTHOMCL8396	ENSDARG00000040610_ZEBRA
ORTHOMCL8449	ENSDARG00000041998_ZEBRA
ORTHOMCL8507	ENSDARG00000042967_ZEBRA
ORTHOMCL8515	ENSDARG00000043283_ZEBRA
ORTHOMCL8561	ENSDARG00000044276_ZEBRA
ORTHOMCL8651	ENSDARG00000051965_ZEBRA
ORTHOMCL8707	ENSDARG00000053646_ZEBRA
ORTHOMCL8719	ENSDARG00000054128_ZEBRA
ORTHOMCL8724	ENSDARG00000054239_ZEBRA
ORTHOMCL8730	ENSDARG00000054515_ZEBRA
ORTHOMCL8731	ENSDARG00000054560_ZEBRA
ORTHOMCL8757	ENSDARG00000055436_ZEBRA
ORTHOMCL8764	ENSDARG00000055506_ZEBRA
ORTHOMCL8795	ENSDARG00000056203_ZEBRA
ORTHOMCL8813	ENSDARG00000056836_ZEBRA
ORTHOMCL8868	ENSDARG00000058263_ZEBRA
ORTHOMCL8883	ENSDARG00000058599_ZEBRA
ORTHOMCL8892	ENSDARG00000058930_ZEBRA
ORTHOMCL8922	ENSDARG00000059491_ZEBRA
ORTHOMCL8959	ENSDARG00000060285_ZEBRA
ORTHOMCL8963	ENSDARG00000060325_ZEBRA
ORTHOMCL9017	ENSDARG00000061818_ZEBRA
ORTHOMCL9057	ENSDARG00000062874_ZEBRA
ORTHOMCL9115	ENSDARG00000067723_ZEBRA
ORTHOMCL9118	ENSDARG00000067794_ZEBRA
ORTHOMCL9142	ENSDARG00000068420_ZEBRA
ORTHOMCL9172	ENSDARG00000069103_ZEBRA
ORTHOMCL9176	ENSDARG00000069135_ZEBRA
ORTHOMCL9203	ENSDARG00000069728_ZEBRA
ORTHOMCL9280	ENSDARG00000070892_ZEBRA
ORTHOMCL9285	ENSDARG00000071015_ZEBRA
ORTHOMCL9303	ENSDARG00000071547_ZEBRA
ORTHOMCL9308	ENSDARG00000071779_ZEBRA
ORTHOMCL9326	ENSDARG00000073918_ZEBRA
ORTHOMCL9330	ENSDARG00000074093_ZEBRA
ORTHOMCL9361	ENSDARG00000074737_ZEBRA
ORTHOMCL9368	ENSDARG00000074827_ZEBRA
ORTHOMCL9391	ENSDARG00000075388_ZEBRA
ORTHOMCL9417	ENSDARG00000075929_ZEBRA
ORTHOMCL9421	ENSDARG00000075974_ZEBRA
ORTHOMCL9443	ENSDARG00000076383_ZEBRA
ORTHOMCL9444	ENSDARG00000076402_ZEBRA
ORTHOMCL9451	ENSDARG00000076534_ZEBRA
ORTHOMCL9463	ENSDARG00000076900_ZEBRA
ORTHOMCL9469	ENSDARG00000076972_ZEBRA
ORTHOMCL9470	ENSDARG00000076981_ZEBRA
ORTHOMCL9476	ENSDARG00000077061_ZEBRA
ORTHOMCL9486	ENSDARG00000077303_ZEBRA
ORTHOMCL9540	ENSDARG00000078317_ZEBRA
ORTHOMCL9567	ENSDARG00000078959_ZEBRA
ORTHOMCL9584	ENSDARG00000079226_ZEBRA
ORTHOMCL9589	ENSDARG00000079336_ZEBRA
ORTHOMCL9604	ENSDARG00000079712_ZEBRA
ORTHOMCL9620	ENSDARG00000079988_ZEBRA
ORTHOMCL9629	ENSDARG00000086141_ZEBRA
ORTHOMCL9639	ENSDARG00000086317_ZEBRA
ORTHOMCL9645	ENSDARG00000086583_ZEBRA
ORTHOMCL9654	ENSDARG00000086980_ZEBRA
ORTHOMCL9655	ENSDARG00000087012_ZEBRA
ORTHOMCL9668	ENSDARG00000087440_ZEBRA
ORTHOMCL9678	ENSDARG00000087704_ZEBRA
ORTHOMCL9700	ENSDARG00000088615_ZEBRA
ORTHOMCL9705	ENSDARG00000088824_ZEBRA
ORTHOMCL9720	ENSDARG00000089320_ZEBRA
ORTHOMCL9728	ENSDARG00000089586_ZEBRA
ORTHOMCL9759	ENSDARG00000090603_ZEBRA
ORTHOMCL9775	ENSDARG00000090930_ZEBRA
ORTHOMCL9782	ENSDARG00000091108_ZEBRA
ORTHOMCL9786	ENSDARG00000091161_ZEBRA
ORTHOMCL9802	ENSDARG00000091954_ZEBRA
ORTHOMCL9806	ENSDARG00000092199_ZEBRA
ORTHOMCL9807	ENSDARG00000092222_ZEBRA
ORTHOMCL9808	ENSDARG00000092262_ZEBRA
ORTHOMCL9813	ENSDARG00000092578_ZEBRA
ORTHOMCL9819	ENSDARG00000093120_ZEBRA
ORTHOMCL9827	ENSDARG00000093823_ZEBRA
ORTHOMCL9834	ENSDARG00000094181_ZEBRA
ORTHOMCL9838	ENSDARG00000094510_ZEBRA
ORTHOMCL9854	ENSDARG00000095580_ZEBRA
ORTHOMCL9857	ENSDARG00000095807_ZEBRA
ORTHOMCL9861	ENSDARG00000096045_ZEBRA
ORTHOMCL9873	ENSDARG00000097363_ZEBRA
ORTHOMCL10025	ENSDARG00000021184_ZEBRA
ORTHOMCL10028	ENSDARG00000019986_ZEBRA
ORTHOMCL10029	ENSDARG00000069542_ZEBRA
ORTHOMCL10041	ENSDARG00000017251_ZEBRA
ORTHOMCL10043	ENSDARG00000000690_ZEBRA
ORTHOMCL10044	ENSDARG00000001285_ZEBRA
ORTHOMCL10045	ENSDARG00000001721_ZEBRA
ORTHOMCL10047	ENSDARG00000001771_ZEBRA
ORTHOMCL10048	ENSDARG00000001817_ZEBRA
ORTHOMCL10049	ENSDARG00000001829_ZEBRA
ORTHOMCL10051	ENSDARG00000001913_ZEBRA
ORTHOMCL10057	ENSDARG00000002377_ZEBRA
ORTHOMCL10058	ENSDARG00000002412_ZEBRA
ORTHOMCL10059	ENSDARG00000002601_ZEBRA
ORTHOMCL10061	ENSDARG00000002728_ZEBRA
ORTHOMCL10063	ENSDARG00000002738_ZEBRA
ORTHOMCL10066	ENSDARG00000002909_ZEBRA
ORTHOMCL10070	ENSDARG00000003219_ZEBRA
ORTHOMCL10078	ENSDARG00000003632_ZEBRA
ORTHOMCL10079	ENSDARG00000003635_ZEBRA
ORTHOMCL10081	ENSDARG00000003783_ZEBRA
ORTHOMCL10084	ENSDARG00000003977_ZEBRA
ORTHOMCL10086	ENSDARG00000004196_ZEBRA
ORTHOMCL10088	ENSDARG00000004274_ZEBRA
ORTHOMCL10089	ENSDARG00000004282_ZEBRA
