ORTHOMCL7	ENSMUSP00000064211_MOUSE
ORTHOMCL8488	ENSMUSP00000003123_MOUSE
ORTHOMCL8493	ENSMUSP00000066239_MOUSE
ORTHOMCL8543	ENSMUSP00000063714_MOUSE
ORTHOMCL8644	ENSMUSP00000023684_MOUSE
ORTHOMCL8661	ENSMUSP00000033166_MOUSE
ORTHOMCL8674	ENSMUSP00000027809_MOUSE
ORTHOMCL8706	ENSMUSP00000055899_MOUSE
ORTHOMCL8748	ENSMUSP00000124929_MOUSE
ORTHOMCL8785	ENSMUSP00000027217_MOUSE
ORTHOMCL8852	ENSMUSP00000024978_MOUSE
ORTHOMCL8950	ENSMUSP00000020954_MOUSE
ORTHOMCL9066	ENSMUSP00000090567_MOUSE
ORTHOMCL9126	ENSMUSP00000110233_MOUSE
ORTHOMCL9183	ENSMUSP00000105057_MOUSE
ORTHOMCL9184	ENSMUSP00000099647_MOUSE
ORTHOMCL9238	ENSMUSP00000026663_MOUSE
ORTHOMCL9362	ENSMUSP00000054698_MOUSE
ORTHOMCL9374	ENSMUSP00000034720_MOUSE
ORTHOMCL9440	ENSMUSP00000109936_MOUSE
ORTHOMCL9587	ENSMUSP00000076472_MOUSE
ORTHOMCL9811	ENSMUSP00000031326_MOUSE
ORTHOMCL9893	ENSMUSP00000023246_MOUSE
ORTHOMCL9911	ENSMUSP00000033522_MOUSE
ORTHOMCL9942	ENSMUSP00000051631_MOUSE
ORTHOMCL9967	ENSMUSP00000071329_MOUSE
ORTHOMCL9968	ENSMUSP00000072115_MOUSE
ORTHOMCL9970	ENSMUSP00000072197_MOUSE
ORTHOMCL9972	ENSMUSP00000072445_MOUSE
ORTHOMCL9984	ENSMUSP00000093166_MOUSE
ORTHOMCL10038	ENSMUSP00000125504_MOUSE
ORTHOMCL10053	ENSMUSP00000070018_MOUSE
ORTHOMCL10062	ENSMUSP00000022871_MOUSE
ORTHOMCL10092	ENSMUSP00000008733_MOUSE
ORTHOMCL10097	ENSMUSP00000097910_MOUSE
ORTHOMCL10118	ENSMUSP00000082723_MOUSE
ORTHOMCL10124	ENSMUSP00000029837_MOUSE
ORTHOMCL10135	ENSMUSP00000016488_MOUSE
ORTHOMCL10137	ENSMUSP00000000755_MOUSE
ORTHOMCL10177	ENSMUSP00000107339_MOUSE
ORTHOMCL10262	ENSMUSP00000056481_MOUSE
ORTHOMCL10264	ENSMUSP00000051814_MOUSE
ORTHOMCL10266	ENSMUSP00000018270_MOUSE
ORTHOMCL10292	ENSMUSP00000039707_MOUSE
ORTHOMCL10348	ENSMUSP00000126581_MOUSE
ORTHOMCL10372	ENSMUSP00000027214_MOUSE
ORTHOMCL10379	ENSMUSP00000054210_MOUSE
ORTHOMCL10427	ENSMUSP00000134416_MOUSE
ORTHOMCL10433	ENSMUSP00000048832_MOUSE
ORTHOMCL10437	ENSMUSP00000000776_MOUSE
ORTHOMCL10538	ENSMUSP00000106941_MOUSE
ORTHOMCL10541	ENSMUSP00000107451_MOUSE
ORTHOMCL10596	ENSMUSP00000037539_MOUSE
ORTHOMCL10628	ENSMUSP00000030296_MOUSE
ORTHOMCL10647	ENSMUSP00000037631_MOUSE
ORTHOMCL10695	ENSMUSP00000049440_MOUSE
ORTHOMCL10721	ENSMUSP00000096685_MOUSE
ORTHOMCL10728	ENSMUSP00000025050_MOUSE
ORTHOMCL10732	ENSMUSP00000087605_MOUSE
ORTHOMCL10866	ENSMUSP00000026986_MOUSE
ORTHOMCL10885	ENSMUSP00000099521_MOUSE
ORTHOMCL10893	ENSMUSP00000055178_MOUSE
ORTHOMCL10976	ENSMUSP00000106443_MOUSE
ORTHOMCL11009	ENSMUSP00000129007_MOUSE
ORTHOMCL11017	ENSMUSP00000043101_MOUSE
ORTHOMCL11058	ENSMUSP00000021004_MOUSE
ORTHOMCL11074	ENSMUSP00000026121_MOUSE
ORTHOMCL11185	ENSMUSP00000026554_MOUSE
ORTHOMCL11196	ENSMUSP00000027146_MOUSE
ORTHOMCL11272	ENSMUSP00000071513_MOUSE
ORTHOMCL11333	ENSMUSP00000110749_MOUSE
ORTHOMCL11342	ENSMUSP00000030274_MOUSE
ORTHOMCL11361	ENSMUSP00000033230_MOUSE
ORTHOMCL11480	ENSMUSP00000074188_MOUSE
ORTHOMCL11515	ENSMUSP00000120977_MOUSE
ORTHOMCL11582	ENSMUSP00000073244_MOUSE
ORTHOMCL11693	ENSMUSP00000030815_MOUSE
ORTHOMCL11710	ENSMUSP00000001713_MOUSE
ORTHOMCL11736	ENSMUSP00000013227_MOUSE
ORTHOMCL11766	ENSMUSP00000026029_MOUSE
ORTHOMCL11790	ENSMUSP00000039201_MOUSE
ORTHOMCL11797	ENSMUSP00000048099_MOUSE
ORTHOMCL11810	ENSMUSP00000060291_MOUSE
ORTHOMCL11991	ENSMUSP00000028243_MOUSE
ORTHOMCL12021	ENSMUSP00000010520_MOUSE
ORTHOMCL12026	ENSMUSP00000050404_MOUSE
ORTHOMCL12037	ENSMUSP00000090259_MOUSE
ORTHOMCL12048	ENSMUSP00000034053_MOUSE
ORTHOMCL12068	ENSMUSP00000088174_MOUSE
ORTHOMCL12132	ENSMUSP00000046298_MOUSE
ORTHOMCL12178	ENSMUSP00000128988_MOUSE
ORTHOMCL12284	ENSMUSP00000022135_MOUSE
ORTHOMCL12286	ENSMUSP00000088808_MOUSE
ORTHOMCL12314	ENSMUSP00000014445_MOUSE
ORTHOMCL12373	ENSMUSP00000102581_MOUSE
ORTHOMCL12389	ENSMUSP00000039298_MOUSE
ORTHOMCL12401	ENSMUSP00000068939_MOUSE
ORTHOMCL12458	ENSMUSP00000049882_MOUSE
ORTHOMCL12493	ENSMUSP00000057143_MOUSE
ORTHOMCL12494	ENSMUSP00000031391_MOUSE
ORTHOMCL12526	ENSMUSP00000038452_MOUSE
ORTHOMCL12533	ENSMUSP00000091238_MOUSE
ORTHOMCL12542	ENSMUSP00000104849_MOUSE
ORTHOMCL12591	ENSMUSP00000126916_MOUSE
ORTHOMCL12701	ENSMUSP00000031937_MOUSE
ORTHOMCL12732	ENSMUSP00000130657_MOUSE
ORTHOMCL12736	ENSMUSP00000040433_MOUSE
ORTHOMCL12900	ENSMUSP00000098768_MOUSE
ORTHOMCL12964	ENSMUSP00000061012_MOUSE
ORTHOMCL13010	ENSMUSP00000131470_MOUSE
ORTHOMCL13097	ENSMUSP00000020878_MOUSE
ORTHOMCL13128	ENSMUSP00000040717_MOUSE
ORTHOMCL13138	ENSMUSP00000078070_MOUSE
ORTHOMCL13159	ENSMUSP00000061994_MOUSE
ORTHOMCL13171	ENSMUSP00000000003_MOUSE
ORTHOMCL13173	ENSMUSP00000008830_MOUSE
ORTHOMCL13176	ENSMUSP00000019572_MOUSE
ORTHOMCL13178	ENSMUSP00000021888_MOUSE
ORTHOMCL13192	ENSMUSP00000033210_MOUSE
ORTHOMCL13196	ENSMUSP00000033852_MOUSE
ORTHOMCL13206	ENSMUSP00000042364_MOUSE
ORTHOMCL13213	ENSMUSP00000047946_MOUSE
ORTHOMCL13215	ENSMUSP00000048540_MOUSE
ORTHOMCL13221	ENSMUSP00000051392_MOUSE
ORTHOMCL13237	ENSMUSP00000066396_MOUSE
ORTHOMCL13240	ENSMUSP00000067691_MOUSE
ORTHOMCL13252	ENSMUSP00000081059_MOUSE
ORTHOMCL13255	ENSMUSP00000088134_MOUSE
ORTHOMCL13259	ENSMUSP00000100210_MOUSE
ORTHOMCL13260	ENSMUSP00000100301_MOUSE
ORTHOMCL13263	ENSMUSP00000103625_MOUSE
ORTHOMCL13271	ENSMUSP00000113588_MOUSE
ORTHOMCL13487	ENSMUSP00000000759_MOUSE
ORTHOMCL13492	ENSMUSP00000047015_MOUSE
ORTHOMCL13768	ENSMUSP00000020016_MOUSE
ORTHOMCL13785	ENSMUSP00000074724_MOUSE
ORTHOMCL13850	ENSMUSP00000109039_MOUSE
ORTHOMCL13935	ENSMUSP00000100459_MOUSE
ORTHOMCL13986	ENSMUSP00000091219_MOUSE
ORTHOMCL14048	ENSMUSP00000048427_MOUSE
ORTHOMCL14146	ENSMUSP00000116181_MOUSE
ORTHOMCL14182	ENSMUSP00000023112_MOUSE
ORTHOMCL14184	ENSMUSP00000023602_MOUSE
ORTHOMCL14185	ENSMUSP00000023845_MOUSE
ORTHOMCL14202	ENSMUSP00000054070_MOUSE
ORTHOMCL14206	ENSMUSP00000055114_MOUSE
ORTHOMCL14208	ENSMUSP00000055931_MOUSE
ORTHOMCL14211	ENSMUSP00000058140_MOUSE
ORTHOMCL14214	ENSMUSP00000059970_MOUSE
ORTHOMCL14219	ENSMUSP00000068753_MOUSE
ORTHOMCL14221	ENSMUSP00000070130_MOUSE
ORTHOMCL14225	ENSMUSP00000073250_MOUSE
ORTHOMCL14229	ENSMUSP00000077761_MOUSE
ORTHOMCL14231	ENSMUSP00000079520_MOUSE
ORTHOMCL14235	ENSMUSP00000084377_MOUSE
ORTHOMCL14239	ENSMUSP00000093970_MOUSE
ORTHOMCL14241	ENSMUSP00000095717_MOUSE
ORTHOMCL14245	ENSMUSP00000097938_MOUSE
ORTHOMCL14248	ENSMUSP00000100753_MOUSE
ORTHOMCL14254	ENSMUSP00000126442_MOUSE
ORTHOMCL14881	ENSMUSP00000054771_MOUSE
ORTHOMCL14889	ENSMUSP00000116199_MOUSE
ORTHOMCL14925	ENSMUSP00000132193_MOUSE
ORTHOMCL14952	ENSMUSP00000006662_MOUSE
ORTHOMCL14959	ENSMUSP00000029527_MOUSE
ORTHOMCL14960	ENSMUSP00000029531_MOUSE
ORTHOMCL14963	ENSMUSP00000033211_MOUSE
ORTHOMCL14969	ENSMUSP00000039823_MOUSE
ORTHOMCL14970	ENSMUSP00000040319_MOUSE
ORTHOMCL14971	ENSMUSP00000040450_MOUSE
ORTHOMCL14974	ENSMUSP00000046590_MOUSE
ORTHOMCL14975	ENSMUSP00000048054_MOUSE
ORTHOMCL14976	ENSMUSP00000048129_MOUSE
ORTHOMCL14977	ENSMUSP00000048154_MOUSE
ORTHOMCL14982	ENSMUSP00000051280_MOUSE
ORTHOMCL14985	ENSMUSP00000052662_MOUSE
ORTHOMCL14986	ENSMUSP00000053146_MOUSE
ORTHOMCL14987	ENSMUSP00000053269_MOUSE
ORTHOMCL14989	ENSMUSP00000054773_MOUSE
ORTHOMCL15003	ENSMUSP00000063538_MOUSE
ORTHOMCL15007	ENSMUSP00000066399_MOUSE
ORTHOMCL15009	ENSMUSP00000071484_MOUSE
ORTHOMCL15010	ENSMUSP00000071667_MOUSE
ORTHOMCL15012	ENSMUSP00000071767_MOUSE
ORTHOMCL15014	ENSMUSP00000073409_MOUSE
ORTHOMCL15015	ENSMUSP00000073437_MOUSE
ORTHOMCL15016	ENSMUSP00000073927_MOUSE
ORTHOMCL15017	ENSMUSP00000074211_MOUSE
ORTHOMCL15019	ENSMUSP00000075195_MOUSE
ORTHOMCL15021	ENSMUSP00000076267_MOUSE
ORTHOMCL15024	ENSMUSP00000077489_MOUSE
ORTHOMCL15025	ENSMUSP00000079930_MOUSE
ORTHOMCL15030	ENSMUSP00000092422_MOUSE
ORTHOMCL15033	ENSMUSP00000094930_MOUSE
ORTHOMCL15034	ENSMUSP00000095085_MOUSE
ORTHOMCL15043	ENSMUSP00000100098_MOUSE
ORTHOMCL15044	ENSMUSP00000100335_MOUSE
ORTHOMCL15046	ENSMUSP00000106993_MOUSE
ORTHOMCL15047	ENSMUSP00000110147_MOUSE
ORTHOMCL15048	ENSMUSP00000110578_MOUSE
ORTHOMCL15054	ENSMUSP00000127847_MOUSE
ORTHOMCL15463	ENSMUSP00000069544_MOUSE
ORTHOMCL15494	ENSMUSP00000003575_MOUSE
ORTHOMCL15522	ENSMUSP00000002757_MOUSE
ORTHOMCL15726	ENSMUSP00000006745_MOUSE
ORTHOMCL15728	ENSMUSP00000014248_MOUSE
ORTHOMCL15736	ENSMUSP00000024026_MOUSE
ORTHOMCL15737	ENSMUSP00000024032_MOUSE
ORTHOMCL15745	ENSMUSP00000032317_MOUSE
ORTHOMCL15755	ENSMUSP00000047110_MOUSE
ORTHOMCL15756	ENSMUSP00000047347_MOUSE
ORTHOMCL15758	ENSMUSP00000047680_MOUSE
ORTHOMCL15761	ENSMUSP00000049887_MOUSE
ORTHOMCL15763	ENSMUSP00000050666_MOUSE
ORTHOMCL15768	ENSMUSP00000052425_MOUSE
ORTHOMCL15769	ENSMUSP00000052610_MOUSE
ORTHOMCL15784	ENSMUSP00000061462_MOUSE
ORTHOMCL15787	ENSMUSP00000062976_MOUSE
ORTHOMCL15791	ENSMUSP00000066465_MOUSE
ORTHOMCL15793	ENSMUSP00000069927_MOUSE
ORTHOMCL15795	ENSMUSP00000071179_MOUSE
ORTHOMCL15797	ENSMUSP00000071415_MOUSE
ORTHOMCL15801	ENSMUSP00000072912_MOUSE
ORTHOMCL15812	ENSMUSP00000079200_MOUSE
ORTHOMCL15815	ENSMUSP00000083386_MOUSE
ORTHOMCL15816	ENSMUSP00000083455_MOUSE
ORTHOMCL15817	ENSMUSP00000086890_MOUSE
ORTHOMCL15818	ENSMUSP00000090367_MOUSE
ORTHOMCL15820	ENSMUSP00000093345_MOUSE
ORTHOMCL15822	ENSMUSP00000095720_MOUSE
ORTHOMCL15824	ENSMUSP00000096310_MOUSE
ORTHOMCL15825	ENSMUSP00000097017_MOUSE
ORTHOMCL15826	ENSMUSP00000097032_MOUSE
ORTHOMCL15827	ENSMUSP00000097314_MOUSE
ORTHOMCL15829	ENSMUSP00000097447_MOUSE
ORTHOMCL15831	ENSMUSP00000097491_MOUSE
ORTHOMCL15837	ENSMUSP00000100688_MOUSE
ORTHOMCL16259	ENSMUSP00000133172_MOUSE
ORTHOMCL16425	ENSMUSP00000044228_MOUSE
ORTHOMCL16432	ENSMUSP00000006362_MOUSE
ORTHOMCL16436	ENSMUSP00000009191_MOUSE
ORTHOMCL16438	ENSMUSP00000013797_MOUSE
ORTHOMCL16440	ENSMUSP00000017147_MOUSE
ORTHOMCL16447	ENSMUSP00000021632_MOUSE
ORTHOMCL16449	ENSMUSP00000021776_MOUSE
ORTHOMCL16452	ENSMUSP00000022548_MOUSE
ORTHOMCL16454	ENSMUSP00000023469_MOUSE
ORTHOMCL16457	ENSMUSP00000023687_MOUSE
ORTHOMCL16465	ENSMUSP00000027299_MOUSE
ORTHOMCL16468	ENSMUSP00000028113_MOUSE
ORTHOMCL16471	ENSMUSP00000029533_MOUSE
ORTHOMCL16476	ENSMUSP00000031211_MOUSE
ORTHOMCL16480	ENSMUSP00000032622_MOUSE
ORTHOMCL16481	ENSMUSP00000033524_MOUSE
ORTHOMCL16486	ENSMUSP00000039186_MOUSE
ORTHOMCL16487	ENSMUSP00000040435_MOUSE
ORTHOMCL16494	ENSMUSP00000042438_MOUSE
ORTHOMCL16496	ENSMUSP00000043520_MOUSE
ORTHOMCL16512	ENSMUSP00000051482_MOUSE
ORTHOMCL16515	ENSMUSP00000052153_MOUSE
ORTHOMCL16517	ENSMUSP00000052670_MOUSE
ORTHOMCL16522	ENSMUSP00000053711_MOUSE
ORTHOMCL16527	ENSMUSP00000054790_MOUSE
ORTHOMCL16528	ENSMUSP00000054890_MOUSE
ORTHOMCL16530	ENSMUSP00000055035_MOUSE
ORTHOMCL16544	ENSMUSP00000058119_MOUSE
ORTHOMCL16546	ENSMUSP00000058678_MOUSE
ORTHOMCL16547	ENSMUSP00000058679_MOUSE
ORTHOMCL16552	ENSMUSP00000060524_MOUSE
ORTHOMCL16554	ENSMUSP00000060839_MOUSE
ORTHOMCL16558	ENSMUSP00000061689_MOUSE
ORTHOMCL16561	ENSMUSP00000062918_MOUSE
ORTHOMCL16565	ENSMUSP00000064663_MOUSE
ORTHOMCL16566	ENSMUSP00000065027_MOUSE
ORTHOMCL16567	ENSMUSP00000065147_MOUSE
ORTHOMCL16571	ENSMUSP00000070117_MOUSE
ORTHOMCL16577	ENSMUSP00000071534_MOUSE
ORTHOMCL16580	ENSMUSP00000072119_MOUSE
ORTHOMCL16581	ENSMUSP00000072205_MOUSE
ORTHOMCL16583	ENSMUSP00000072410_MOUSE
ORTHOMCL16585	ENSMUSP00000072710_MOUSE
ORTHOMCL16587	ENSMUSP00000073046_MOUSE
ORTHOMCL16599	ENSMUSP00000075216_MOUSE
ORTHOMCL16600	ENSMUSP00000075425_MOUSE
ORTHOMCL16603	ENSMUSP00000076395_MOUSE
ORTHOMCL16606	ENSMUSP00000077517_MOUSE
ORTHOMCL16608	ENSMUSP00000077674_MOUSE
ORTHOMCL16613	ENSMUSP00000078360_MOUSE
ORTHOMCL16616	ENSMUSP00000079651_MOUSE
ORTHOMCL16617	ENSMUSP00000083018_MOUSE
ORTHOMCL16618	ENSMUSP00000083039_MOUSE
ORTHOMCL16619	ENSMUSP00000083330_MOUSE
ORTHOMCL16623	ENSMUSP00000084938_MOUSE
ORTHOMCL16626	ENSMUSP00000088869_MOUSE
ORTHOMCL16637	ENSMUSP00000092867_MOUSE
ORTHOMCL16646	ENSMUSP00000094941_MOUSE
ORTHOMCL16650	ENSMUSP00000095803_MOUSE
ORTHOMCL16659	ENSMUSP00000097399_MOUSE
ORTHOMCL16661	ENSMUSP00000097427_MOUSE
ORTHOMCL16663	ENSMUSP00000097440_MOUSE
ORTHOMCL16665	ENSMUSP00000097511_MOUSE
ORTHOMCL16666	ENSMUSP00000097723_MOUSE
ORTHOMCL16676	ENSMUSP00000100206_MOUSE
ORTHOMCL16683	ENSMUSP00000103740_MOUSE
ORTHOMCL16690	ENSMUSP00000108127_MOUSE
ORTHOMCL16701	ENSMUSP00000120110_MOUSE
ORTHOMCL16702	ENSMUSP00000120616_MOUSE
ORTHOMCL16707	ENSMUSP00000127225_MOUSE
ORTHOMCL17257	ENSMUSP00000061529_MOUSE
ORTHOMCL17267	ENSMUSP00000085674_MOUSE
ORTHOMCL17345	ENSMUSP00000075059_MOUSE
ORTHOMCL17377	ENSMUSP00000098922_MOUSE
ORTHOMCL17412	ENSMUSP00000134667_MOUSE
ORTHOMCL17472	ENSMUSP00000023728_MOUSE
ORTHOMCL17480	ENSMUSP00000089303_MOUSE
ORTHOMCL17483	ENSMUSP00000000327_MOUSE
ORTHOMCL17519	ENSMUSP00000004140_MOUSE
ORTHOMCL17540	ENSMUSP00000006660_MOUSE
ORTHOMCL17583	ENSMUSP00000015267_MOUSE
ORTHOMCL17608	ENSMUSP00000018355_MOUSE
ORTHOMCL17641	ENSMUSP00000020067_MOUSE
ORTHOMCL17678	ENSMUSP00000021734_MOUSE
ORTHOMCL17682	ENSMUSP00000021880_MOUSE
ORTHOMCL17683	ENSMUSP00000021885_MOUSE
ORTHOMCL17756	ENSMUSP00000024939_MOUSE
ORTHOMCL17845	ENSMUSP00000027816_MOUSE
ORTHOMCL17861	ENSMUSP00000028430_MOUSE
ORTHOMCL17878	ENSMUSP00000028933_MOUSE
ORTHOMCL17908	ENSMUSP00000029524_MOUSE
ORTHOMCL18093	ENSMUSP00000034619_MOUSE
ORTHOMCL18124	ENSMUSP00000036132_MOUSE
ORTHOMCL18135	ENSMUSP00000036529_MOUSE
ORTHOMCL18142	ENSMUSP00000036801_MOUSE
ORTHOMCL18170	ENSMUSP00000038028_MOUSE
ORTHOMCL18192	ENSMUSP00000038992_MOUSE
ORTHOMCL18301	ENSMUSP00000044814_MOUSE
ORTHOMCL18358	ENSMUSP00000047032_MOUSE
ORTHOMCL18387	ENSMUSP00000048665_MOUSE
ORTHOMCL18388	ENSMUSP00000048740_MOUSE
ORTHOMCL18402	ENSMUSP00000049558_MOUSE
ORTHOMCL18435	ENSMUSP00000050632_MOUSE
ORTHOMCL18465	ENSMUSP00000051917_MOUSE
ORTHOMCL18467	ENSMUSP00000051954_MOUSE
ORTHOMCL18492	ENSMUSP00000052805_MOUSE
ORTHOMCL18505	ENSMUSP00000053275_MOUSE
ORTHOMCL18510	ENSMUSP00000053523_MOUSE
ORTHOMCL18517	ENSMUSP00000053751_MOUSE
ORTHOMCL18521	ENSMUSP00000053819_MOUSE
ORTHOMCL18569	ENSMUSP00000055898_MOUSE
ORTHOMCL18572	ENSMUSP00000056162_MOUSE
ORTHOMCL18591	ENSMUSP00000056772_MOUSE
ORTHOMCL18617	ENSMUSP00000057910_MOUSE
ORTHOMCL18659	ENSMUSP00000059077_MOUSE
ORTHOMCL18660	ENSMUSP00000059092_MOUSE
ORTHOMCL18666	ENSMUSP00000059315_MOUSE
ORTHOMCL18669	ENSMUSP00000059489_MOUSE
ORTHOMCL18703	ENSMUSP00000060977_MOUSE
ORTHOMCL18708	ENSMUSP00000061191_MOUSE
ORTHOMCL18738	ENSMUSP00000062542_MOUSE
ORTHOMCL18747	ENSMUSP00000062956_MOUSE
ORTHOMCL18758	ENSMUSP00000063555_MOUSE
ORTHOMCL18776	ENSMUSP00000064613_MOUSE
ORTHOMCL18792	ENSMUSP00000065855_MOUSE
ORTHOMCL18806	ENSMUSP00000066627_MOUSE
ORTHOMCL18831	ENSMUSP00000068332_MOUSE
ORTHOMCL18832	ENSMUSP00000068426_MOUSE
ORTHOMCL18840	ENSMUSP00000069083_MOUSE
ORTHOMCL18845	ENSMUSP00000069300_MOUSE
ORTHOMCL18878	ENSMUSP00000071028_MOUSE
ORTHOMCL18880	ENSMUSP00000071126_MOUSE
ORTHOMCL18885	ENSMUSP00000071615_MOUSE
ORTHOMCL18887	ENSMUSP00000071744_MOUSE
ORTHOMCL18892	ENSMUSP00000071901_MOUSE
ORTHOMCL18894	ENSMUSP00000071935_MOUSE
ORTHOMCL18895	ENSMUSP00000072016_MOUSE
ORTHOMCL18899	ENSMUSP00000072231_MOUSE
ORTHOMCL18900	ENSMUSP00000072248_MOUSE
ORTHOMCL18901	ENSMUSP00000072333_MOUSE
ORTHOMCL18908	ENSMUSP00000072865_MOUSE
